date,daily_return,cumulative_return,portfolio_value,benchmark_daily_return,benchmark_cumulative_return,benchmark_source,benchmark_value
2026-06-15,-5.820000000000001e-05,-5.820000000011927e-05,99994.18,0.009778646990843631,-0.03490366798022371,official_nse_nifty50_index,96509.63320197763
2026-06-16,8.748153978281657e-05,2.9276448357373752e-05,100002.92764483573,0.005669932380029996,-0.02943163703745655,official_nse_nifty50_index,97056.83629625435
2026-06-17,0.005683999886358552,0.005713442742044883,100571.34427420449,0.004024736182815847,-0.025525355429144803,official_nse_nifty50_index,97447.46445708552
2026-06-18,0.006840907328021679,0.01259343520238887,101259.3435202389,0.003416965253241422,-0.022195609428481422,official_nse_nifty50_index,97780.43905715186
2026-06-19,0.0023992941569700122,0.015022944714856212,101502.29447148561,-0.006409301555776348,-0.028462652630216412,official_nse_nifty50_index,97153.73473697835
2026-06-22,0.0030608344714353705,0.018129761933337152,101812.97619333371,0.0037396254544395102,-0.024829466836053693,official_nse_nifty50_index,97517.05331639462
2026-06-23,-0.0018908730377306471,0.01620460781758637,101620.46078175864,-0.011567072841857318,-0.03610933542639394,official_nse_nifty50_index,96389.0664573606
2026-06-24,0.011313983533166426,0.027701930016762244,102770.19300167623,0.008292023623138078,-0.028116731265627304,official_nse_nifty50_index,97188.32687343727
2026-06-25,0.0042925110541314464,0.03211335191171161,103211.33519117115,0.0014299600568652426,-0.026726977011401476,official_nse_nifty50_index,97327.30229885985
2026-06-29,0.0039202548077600236,0.0361594992416967,103615.94992416966,-0.004562271366810755,-0.031167312656271706,official_nse_nifty50_index,96883.26873437283
