total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,best_day,worst_day,positive_day_rate,observations,symbol,score_type
0.4776761281034472,0.6396214156890776,0.9109328213796182,0.7021609065752661,-0.2444318178698882,0.23612860603391309,-0.1954107448251459,0.5979899497487438,199,HINDALCO,fundamental
0.20085761011402914,0.26084767388235885,0.4282482709585256,0.6091038576723666,-0.12775181695159132,0.12605663969538314,-0.10124779281930536,0.542713567839196,199,TITAN,fundamental
0.18249003164352118,0.2364762078387166,0.39369297999247255,0.6006614795194927,-0.12890056389116267,0.14564564564564567,-0.12029275212793393,0.5125628140703518,199,GRASIM,fundamental
0.4953342040439821,0.664472406830569,1.1075359673013012,0.5999556009451038,-0.3088828430478239,0.3610399409497253,-0.27588211119591377,0.542713567839196,199,SHRIRAMFIN,fundamental
0.4127459973655059,0.5489268290117164,0.9284379724934239,0.5912369434196149,-0.2309263338139561,0.2589618094178717,-0.21844550710156305,0.5477386934673367,199,EICHERMOT,fundamental
0.29894957371496544,0.3926613250125539,0.7521476035243964,0.5220535479640304,-0.21419387179645133,0.2377389849997385,-0.16476294561540458,0.5326633165829145,199,SBIN,fundamental
0.21555036759494817,0.2804147892082227,0.5817634937024452,0.48200822541066246,-0.14984162513560995,0.15600479650137541,-0.09917116422513496,0.46733668341708545,199,APOLLOHOSP,fundamental
0.21653451293081982,0.28172768796583325,0.6322373855473005,0.4456042847291509,-0.15765554311089192,0.1511593193352573,-0.1550298507462686,0.5326633165829145,199,JSWSTEEL,fundamental
0.19730835205884456,0.25613046553238883,0.5797539893538676,0.44179163961915074,-0.13662992729638201,0.12501240694789087,-0.13047216111017101,0.5376884422110553,199,TATASTEEL,fundamental
0.20046050940934546,0.26031971499767903,0.6557711375307537,0.3969673260977742,-0.1916560004902511,0.16321991701244803,-0.14037342963617513,0.49748743718592964,199,ASIANPAINT,fundamental
15.264586579953786,33.18498495511306,8.617078699120716,3.8510713565258774,-0.5802596122063305,4.942273240564623,-0.5429230307576894,0.5226130653266332,199,BAJFINANCE,technical
7.399923701186678,13.806047066716415,5.97358501262584,2.3111828219629906,-0.5119156626679914,3.476698594482041,-0.4692942690538016,0.49748743718592964,199,KOTAKBANK,technical
0.4609506955255429,0.6161557849708337,0.4480668036987376,1.375142679360626,-0.1181031796253399,0.12820243338471693,-0.10104317605276514,0.5979899497487438,199,HINDALCO,technical
0.2270452515607635,0.2957671468051908,0.24071773968713292,1.2286886175884129,-0.059289537071449794,0.07677385768681581,-0.05369364331959971,0.542713567839196,199,TITAN,technical
0.3429699356822302,0.4526948536173374,0.3866157028595768,1.1709168827572463,-0.09788784002209949,0.1283790518998588,-0.09380971116315377,0.5326633165829145,199,SBIN,technical
0.4378166918161588,0.5838168584980012,0.5213577806504378,1.1198007973903075,-0.1536213818455292,0.16740464200770935,-0.12170674382898314,0.542713567839196,199,SHRIRAMFIN,technical
0.25390200990268363,0.3317855721306775,0.29658009534250057,1.1187047861304396,-0.08631313489472336,0.11872200772200775,-0.08093983750322413,0.5125628140703518,199,GRASIM,technical
0.26439337988695044,0.345912021218018,0.31180055022470177,1.109401574079114,-0.07933115743610475,0.07762987987987986,-0.06704350251586089,0.5376884422110553,199,TATASTEEL,technical
0.2176870752316622,0.2832656229710879,0.28371204295024244,0.998426503244232,-0.11720906534488595,0.09445195627978652,-0.06117972803501609,0.5226130653266332,199,LT,technical
0.26063548750708,0.34084848154600933,0.34197218004866975,0.9967140645695199,-0.08489712428500962,0.0967751439263097,-0.05084640809027563,0.46733668341708545,199,APOLLOHOSP,technical
0.5035874127895132,0.6761143983600559,0.6776824450874184,0.9976861629827815,-0.18118593862385501,0.182165519709315,-0.1458195877808574,0.5979899497487438,199,HINDALCO,average
6.160849267909777,11.096748564934847,11.665443506077855,0.9512496082256359,-0.7173652197017184,6.469877234958456,-0.694214703675919,0.5226130653266332,199,BAJFINANCE,average
0.5190536818509226,0.6979769572569532,0.8125733022233381,0.8589710680220112,-0.23249029688688372,0.2642222914787173,-0.18993628203614035,0.542713567839196,199,SHRIRAMFIN,average
0.21826563383391595,0.2840377756057555,0.3340193017827228,0.8503633595118406,-0.09388486725979706,0.10141524869109948,-0.07747071806945253,0.542713567839196,199,TITAN,average
0.2190950989843905,0.28514496211031326,0.34432992317035016,0.8281155453609638,-0.10762603630513734,0.13218382668382672,-0.10061629481557904,0.5125628140703518,199,GRASIM,average
0.3392858904076541,0.4476503115663961,0.5678345550628744,0.7883463723281675,-0.1451862615451457,0.18305901844979866,-0.1292863283892792,0.5326633165829145,199,SBIN,average
0.4060766214001481,0.5396729022731908,0.7080845350344487,0.7621588603780697,-0.16986328391287253,0.1921000741564702,-0.16353430544332626,0.5477386934673367,199,EICHERMOT,average
0.23996177344755498,0.3130639654612719,0.4448829500832684,0.703699625716553,-0.10706634052498332,0.09848803538677316,-0.09805266542562201,0.5376884422110553,199,TATASTEEL,average
0.24514979704171935,0.3200249177034111,0.4609656875570221,0.6942488917113242,-0.11773500273879445,0.12521975388601034,-0.07490964726291445,0.46733668341708545,199,APOLLOHOSP,average
0.17955873389107824,0.23259602490962417,0.3678920699891246,0.6322398439208,-0.1630467158200002,0.11211282497645614,-0.08408494131336636,0.5226130653266332,199,LT,average
