date,daily_return,cumulative_return,portfolio_value,benchmark_daily_return,benchmark_cumulative_return,benchmark_source,benchmark_value
2025-06-02,-5.575e-05,-5.575000000002106e-05,99994.425,0.0,0.0,official_nse_nifty50_index,100000.0
2025-06-03,-0.0011484257195960809,-0.001204111694862231,99879.58883051378,-0.007043849073092523,-0.007043849073092523,official_nse_nifty50_index,99295.61509269074
2025-06-04,-0.0010919996658827324,-0.0022947964711763635,99770.52035288236,0.0031659366405216716,-0.0039002128124416835,official_nse_nifty50_index,99609.97871875582
2025-06-05,0.0010514115693958169,-0.0012457976773396773,99875.42023226603,0.005308648995540288,0.0013877313222694365,official_nse_nifty50_index,100138.77313222694
2025-06-06,0.009622153372349129,0.008364368438687153,100836.43684386871,0.010187508333030282,0.011589377179709315,official_nse_nifty50_index,101158.93771797093
2025-06-09,0.0016809965319567537,0.010059425444981285,101005.94254449813,0.004005511327618061,0.01564130988890078,official_nse_nifty50_index,101564.13098889007
2025-06-10,0.0008660026802254718,0.010934139614603655,101093.41396146036,4.182733675395234e-05,0.01568379145999077,official_nse_nifty50_index,101568.37914599908
2025-06-11,-0.0010145799781970772,0.009908466077274802,100990.84660772748,0.0014798291126005836,0.017186829903789835,official_nse_nifty50_index,101718.68299037898
2025-06-12,-0.006004622335163721,0.0038443471453961653,100384.43471453962,-0.010071038207896121,0.006942702475259965,official_nse_nifty50_index,100694.270247526
2025-06-13,-0.003580235755211309,0.000250347721079347,100025.03477210795,-0.0068144743292002374,8.091727826675665e-05,official_nse_nifty50_index,100008.09172782667
2025-06-16,0.006449686576152195,0.006701648961567663,100670.16489615677,0.009219777819132302,0.009301441136726485,official_nse_nifty50_index,100930.14411367265
2025-06-17,-0.004325345315216107,0.0023473167004115503,100234.73167004115,-0.0037319864510051426,0.005534741833424173,official_nse_nifty50_index,100553.47418334242
2025-06-18,0.0007550833544993569,0.003104172474678979,100310.4172474679,-0.0016637562667483063,0.0038617771052655847,official_nse_nifty50_index,100386.17771052656
2025-06-19,0.0010303632234079105,0.00413773412324403,100413.7734123244,-0.000757696361243787,0.003101154689561181,official_nse_nifty50_index,100310.11546895612
2025-06-20,0.005346963136946907,0.009506821572018431,100950.68215720184,0.01287245520454161,0.016013529368926527,official_nse_nifty50_index,101601.35293689265
2025-06-23,-0.000549648574552305,0.008951947586540498,100895.19475865405,-0.005594845574297902,0.010329090570710076,official_nse_nifty50_index,101032.90905707101
2025-06-24,0.006374196208216725,0.015383205265119493,101538.32052651195,0.0029012610173835274,0.013260318975911511,official_nse_nifty50_index,101326.03189759115
2025-06-25,0.005011318862676392,0.020471614274509387,102047.16142745093,0.008001804798287937,0.021368230258207666,official_nse_nifty50_index,102136.82302582076
2025-06-26,0.008549233208552089,0.029195864087649737,102919.58640876498,0.012052010814129765,0.03367777121448823,official_nse_nifty50_index,103367.77712144882
2025-06-27,0.004056004385464183,0.033370287025890955,103337.0287025891,0.0034756741946846414,0.03727049836951757,official_nse_nifty50_index,103727.04983695176
2025-06-30,-0.0007666702179532457,0.03257803280271032,103257.80328027104,-0.00470984249818629,0.03238511769418184,official_nse_nifty50_index,103238.51176941818
2025-07-01,0.003594294007632808,0.03628942183842643,103628.94218384264,0.0009699397069802274,0.03338646901272879,official_nse_nifty50_index,103338.64690127288
2025-07-02,0.002978224788285364,0.039375724682383595,103937.57246823836,-0.003460993352073727,0.029809925313352803,official_nse_nifty50_index,102980.99253133529
2025-07-03,-0.0016695374885454435,0.03764044794534227,103764.04479453422,-0.0018897278948981633,0.027863864771045188,official_nse_nifty50_index,102786.38647710452
2025-07-04,-0.0015888215609589607,0.035991822429123355,103599.18224291234,0.002192455904870272,0.030117410970765146,official_nse_nifty50_index,103011.74109707652
2025-07-07,-0.0009047165159274397,0.03505454351700599,103505.4543517006,1.1782726522913123e-05,0.03012954856250505,official_nse_nifty50_index,103012.95485625051
2025-07-08,-0.0027307651219237003,0.03222805267028095,103222.8052670281,0.002403647889149374,0.03260561727745781,official_nse_nifty50_index,103260.56172774578
2025-07-09,-0.0020171615871912773,0.030145881893213433,103014.58818932134,-0.0018180037222059742,0.030728336421676605,official_nse_nifty50_index,103072.83364216766
2025-07-10,-0.0032052642629352354,0.026843992112371096,102684.39921123712,-0.004743661706462121,0.025838909882427652,official_nse_nifty50_index,102583.89098824277
2025-07-11,-0.004512306595804045,0.02221055719390086,102221.05571939007,-0.008100886404196372,0.017528705404465494,official_nse_nifty50_index,101752.87054044654
2025-07-14,4.919041833393579e-06,0.02221558549039404,102221.55854903942,-0.00268590071113739,0.014795724331016835,official_nse_nifty50_index,101479.57243310168
2025-07-15,0.003025385783961646,0.025308181990880918,102530.81819908808,0.004525103359739768,0.019387779872636735,official_nse_nifty50_index,101938.77798726367
2025-07-16,-0.0010390952044634213,0.024242789175876966,102424.2789175877,0.0006449487613013893,0.020045232758551412,official_nse_nifty50_index,102004.52327585514
2025-07-17,0.0016141496537012527,0.025896070319331166,102589.60703193312,-0.0039901555010400935,0.015975093661750206,official_nse_nifty50_index,101597.50936617501
2025-07-18,-0.003460373885091155,0.022346086348780547,102234.60863487805,-0.005696604536974181,0.010187485333743806,official_nse_nifty50_index,101018.74853337438
