total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,best_day,worst_day,positive_day_rate,observations,symbol,score_type
0.08794417407294852,7.365397731165933,0.29059083772932537,25.3462834159504,-0.014145678953501273,0.05093519221478356,-0.008534238822863598,0.5,10,TRENT,fundamental
0.0756715962058172,5.285335493242043,0.24215894057155915,21.82589451691213,-0.010090863430893715,0.04072991278078244,-0.010090863430893566,0.7,10,MAXHEALTH,fundamental
0.027350189376614376,0.9738144956408812,0.057458174272332366,16.948232483429233,-0.0034752958599847394,0.00770537155152543,-0.0022891377555016488,0.6,10,DRREDDY,fundamental
0.02694947961912786,0.9545050423757291,0.0677772509719287,14.082970741481628,-0.0043939393939395055,0.009501169558831565,-0.004393939393939479,0.7,10,SUNPHARMA,fundamental
0.017505335083437323,0.5485481545320632,0.057710873348190445,9.505109223048402,-0.004066104702750595,0.010286931181349435,-0.004066104702750718,0.8,10,ICICIBANK,fundamental
0.03245418057123173,1.2363709176186966,0.14421614864903723,8.573040739199843,-0.008197689086230642,0.02284237323358276,-0.008197689086230477,0.6,10,BAJFINANCE,fundamental
0.031032342156319004,1.160039418449181,0.13714001821748809,8.458795860807701,-0.008656880733944994,0.01733986374813565,-0.008656880733944976,0.5,10,INDIGO,fundamental
0.015404300533292004,0.46995067022745474,0.06598154985784808,7.122455765891003,-0.006447422802149161,0.007092783505154676,-0.006447422802149116,0.6,10,APOLLOHOSP,fundamental
0.022060427847335973,0.7330442610868131,0.10690519158592403,6.856956619339069,-0.010044797968125851,0.017816982936527906,-0.006232657949895136,0.6,10,SHRIRAMFIN,fundamental
0.024780500202407962,0.853094188984808,0.12523114658740436,6.812156657764016,-0.010401732727746693,0.022217043941411527,-0.007666763763472187,0.6,10,CIPLA,fundamental
0.013604144584579592,0.4056691638017569,0.09517958472735989,4.262144712690105,-0.016021254358983494,0.010230129568748816,-0.008200265503508417,0.5,10,ETERNAL,fundamental
0.015379801796073123,0.46905719766462006,0.12079323614960029,3.883141247111726,-0.016769970036319637,0.013170464080552592,-0.013216520650813518,0.7,10,HDFCBANK,fundamental
0.01416212800605332,0.42529969643639265,0.13123767322543128,3.240682998896524,-0.025051848804689136,0.013055156564205622,-0.012631651124520017,0.5,10,NTPC,fundamental
0.004492768196562524,0.11959183649956873,0.03758178711746487,3.182175348015647,-0.003936179890686176,0.005991663772143072,-0.0019742489270386156,0.5,10,ITC,fundamental
0.009060630362877076,0.25520598915555337,0.10058917093366192,2.5371119653015186,-0.010643119772757781,0.009469069654164651,-0.009541196252702376,0.5,10,SBIN,fundamental
0.006862656500752795,0.18809149569374273,0.11786059671542022,1.595881074214296,-0.016875225512612557,0.010704469839433016,-0.008072151718237532,0.4,10,NESTLEIND,fundamental
