date,daily_return,cumulative_return,portfolio_value,benchmark_daily_return,benchmark_cumulative_return,benchmark_source,benchmark_value
2026-06-17,-4.949e-05,-4.948999999998538e-05,99995.051,0.004024736182815847,-0.025525355429144803,official_nse_nifty50_index,97447.46445708552
2026-06-18,0.006793129478854205,0.006743303286876223,100674.33032868763,0.003416965253241422,-0.022195609428481422,official_nse_nifty50_index,97780.43905715186
2026-06-19,0.002578437325367915,0.009339127797135527,100933.91277971354,-0.006409301555776348,-0.028462652630216412,official_nse_nifty50_index,97153.73473697835
2026-06-22,0.003882565584786078,0.013257953158098523,101325.79531580985,0.0037396254544395102,-0.024829466836053693,official_nse_nifty50_index,97517.05331639462
2026-06-23,-0.0027126738106217694,0.010509314845162265,101050.93148451623,-0.011567072841857318,-0.03610933542639394,official_nse_nifty50_index,96389.0664573606
2026-06-24,0.010256574452204402,0.020873678867517675,102087.36788675176,0.008292023623138078,-0.028116731265627304,official_nse_nifty50_index,97188.32687343727
2026-06-25,0.0038510301889337828,0.024805094223924407,102480.50942239244,0.0014299600568652426,-0.026726977011401476,official_nse_nifty50_index,97327.30229885985
2026-06-29,0.002682327104569038,0.027553956705061777,102755.39567050617,-0.004562271366810755,-0.031167312656271706,official_nse_nifty50_index,96883.26873437283
2026-06-30,0.0030282202605167873,0.030665616415530117,103066.56164155301,-0.0033616954637991636,-0.03442423310649545,official_nse_nifty50_index,96557.57668935045
2026-07-01,0.00490850369923572,0.03572464240638085,103572.46424063809,0.005870337198705222,-0.02875597776393224,official_nse_nifty50_index,97124.40222360678
