strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
optimized_average,1,2025-06-02,2025-07-02,31,31,BHARTIARTL,64.0,0.23569023569023573,99990.0,23566.66666666667,22249.199999999997,1854.1,2033.3,0,12,12,0.09665066609136508
optimized_average,1,2025-06-02,2025-07-02,31,31,BEL,63.5,0.20202020202020204,99990.0,20200.000000000004,20150.0,387.5,426.95,0,52,52,0.10180645161290314
optimized_average,1,2025-06-02,2025-07-02,31,31,ADANIPORTS,63.0,0.1683501683501684,99990.0,16833.333333333336,16148.0,1468.0,1443.9,0,11,11,-0.01641689373296995
optimized_average,1,2025-06-02,2025-07-02,31,31,EICHERMOT,63.0,0.1683501683501684,99990.0,16833.333333333336,16083.0,5361.0,5722.5,0,3,3,0.06743144935646339
optimized_average,1,2025-06-02,2025-07-02,31,31,BAJFINANCE,62.0,0.10101010101010102,99990.0,10100.000000000002,9118.5,9118.5,923.0,0,1,1,-0.8987772111641169
optimized_average,1,2025-06-02,2025-07-02,31,31,CIPLA,61.0,0.033670033670033676,99990.0,3366.6666666666674,2940.4,1470.2,1497.6,0,2,2,0.018636920146918756
optimized_average,1,2025-06-02,2025-07-02,31,31,INDIGO,61.0,0.033670033670033676,99990.0,3366.6666666666674,0.0,5333.0,5956.0,0,0,0,0.1168198012375774
optimized_average,1,2025-06-02,2025-07-02,31,31,MAXHEALTH,61.0,0.033670033670033676,99990.0,3366.6666666666674,2303.2,1151.6,1284.8,0,2,2,0.11566516151441486
optimized_average,1,2025-06-02,2025-07-02,31,31,DRREDDY,60.5,0.011784511784511788,99990.0,1178.3333333333337,0.0,1247.7,1270.8,0,0,0,0.018514065881221287
optimized_average,1,2025-06-02,2025-07-02,31,31,NESTLEIND,60.5,0.011784511784511788,99990.0,1178.3333333333337,0.0,2406.3,2388.0,0,0,0,-0.007605036778456586
optimized_average,2,2025-07-03,2025-08-01,31,30,BHARTIARTL,64.7,0.19999999999999987,96586.14173934227,19317.228347868444,18173.7,2019.3,1884.4,12,9,-3,-0.06680532857921051
optimized_average,2,2025-07-03,2025-08-01,31,30,EICHERMOT,62.785,0.19999999999999987,96586.14173934227,19317.228347868444,17148.0,5716.0,5528.0,3,3,0,-0.032890132960112006
optimized_average,2,2025-07-03,2025-08-01,31,30,TITAN,63.065,0.1999999999999997,96586.14173934227,19317.228347868426,18393.5,3678.7,3316.0,0,5,5,-0.09859461222714538
optimized_average,2,2025-07-03,2025-08-01,31,30,BEL,63.135000000000005,0.19999999999999962,96586.14173934227,19317.22834786842,19181.25,426.25,377.2,52,45,-7,-0.11507331378299124
optimized_average,2,2025-07-03,2025-08-01,31,30,ULTRACEMCO,61.6,0.050000000000000315,96586.14173934227,4829.307086967144,0.0,12398.0,12113.0,0,0,0,-0.02298757864171641
optimized_average,2,2025-07-03,2025-08-01,31,30,M&M,60.185,0.03000000000000047,96586.14173934227,2897.584252180314,0.0,3174.4,3159.3,0,0,0,-0.0047568044354838745
optimized_average,2,2025-07-03,2025-08-01,31,30,BAJFINANCE,63.864999999999995,0.030000000000000096,96586.14173934227,2897.5842521802774,2730.45,910.15,875.6,1,3,2,-0.03796077569631373
optimized_average,2,2025-07-03,2025-08-01,31,30,ADANIPORTS,62.075,0.029999999999999978,96586.14173934227,2897.584252180266,2862.2,1431.1,1347.1,11,2,-9,-0.05869610788903645
optimized_average,2,2025-07-03,2025-08-01,31,30,SUNPHARMA,59.510000000000005,0.029999999999999978,96586.14173934227,2897.584252180266,1679.7,1679.7,1629.7,0,1,1,-0.029767220336964884
optimized_average,2,2025-07-03,2025-08-01,31,30,BAJAJ-AUTO,60.864999999999995,0.029999999999999978,96586.14173934227,2897.584252180266,0.0,8382.5,8044.5,0,0,0,-0.0403220996122875
optimized_average,3,2025-08-04,2025-09-03,31,31,BHARTIARTL,66.56,0.2000000000000001,89954.86101307602,17990.972202615212,17231.399999999998,1914.6,1883.9,9,9,0,-0.01603468087328941
optimized_average,3,2025-08-04,2025-09-03,31,31,BEL,66.37,0.19999999999999987,89954.86101307602,17990.972202615194,17919.3,389.55,378.7,45,46,1,-0.02785265049415997
