date,daily_return,cumulative_return,portfolio_value,benchmark_daily_return,benchmark_cumulative_return,benchmark_value
2025-06-06,-9.999999999999999e-05,-9.999999999998899e-05,99990.0,0.0,0.0,100000.0
2025-06-10,0.03881468364167964,0.03871080217331535,103871.08021733155,-0.01512823023450139,-0.015128230234501383,98487.17697654986
2025-06-11,0.05673642707616104,0.09764354185404245,109764.35418540424,0.012473225423887105,-0.0028437026365937257,99715.62973634063
2025-06-13,-0.09926030798558608,-0.011308894168779338,98869.11058312206,0.17185650479443895,0.16852409336204555,116852.40933620455
2025-06-16,0.008538963903121099,-0.0028664965047497937,99713.35034952502,-0.007439390404871005,0.1598309864340275,115983.09864340274
2025-06-17,-0.008396571069780612,-0.011238998832907132,98876.10011670929,-0.00618483444191574,0.15265762380232917,115265.76238023292
2025-06-18,-0.003183270164360486,-0.014386492227605463,98561.35077723945,-0.003171642348374211,0.1490018060695013,114900.18060695013
2025-06-19,-0.0020350038076902273,-0.01639221946883318,98360.77805311668,-0.0016539003430403258,0.147101471588289,114710.1471588289
2025-06-20,0.01665697167114888,-8.292533003939617e-06,99999.1707466996,0.012355216206334035,0.1612741582803663,116127.41582803662
2025-06-23,0.0031086288920227573,0.0031003105806111098,100310.03105806111,-0.0021587999809665475,0.15876719964957364,115876.71996495736
2025-06-24,0.006285400858743463,0.009405198134140313,100940.51981341402,0.004733683267369093,0.16425243655333088,116425.24365533309
2025-06-25,0.0049115191756453624,0.01436291112077237,101436.29111207723,0.007948396385696103,0.17350637641206923,117350.63764120692
2025-06-26,0.01691814684155143,0.03152405180173701,103152.40518017371,0.011313406242867313,0.18678273077701402,118678.27307770141
2025-06-27,0.004248390497891563,0.035906368781758236,103590.63687817582,0.003412880869888333,0.19083307885559675,119083.30788555967
2025-06-30,-0.0010408400289255602,0.034828155966911245,103482.81559669113,-0.0017964913359962806,0.18869375754681483,118869.37575468149
2025-07-07,-0.0022098725539521414,0.03254131762698309,103254.13176269831,-0.0048750583215703275,0.1828988061522876,118289.88061522876
2025-07-08,-0.043360633561293736,-0.012230328083535857,98776.96719164641,-0.03275687520680958,0.14415073757687313,114415.0737576873
2025-07-10,0.05376210688777319,0.040874250598537776,104087.42505985378,0.013469835994774786,0.15956226036533416,115956.22603653342
2025-07-11,0.058654653885847854,0.10192636950608636,110192.63695060863,0.014467178196649017,0.17633785421614845,117633.78542161484
2025-07-14,-0.07540129571507449,0.01883969346271952,101883.96934627194,0.020778053262206417,0.2007798648054011,120077.98648054012
2025-07-15,0.009069671093707,0.02808023437963958,102808.02343796396,0.0041771622951431095,0.2057957171814333,120579.57171814333
2025-07-16,-0.0029041527550922935,0.025094532334509978,102509.453233451,0.0003419012970808003,0.20620798030115228,120620.79803011523
2025-07-17,0.0014928666594191786,0.026624861784585008,102662.48617845851,-0.0027766086238829456,0.20285881282085172,120285.88128208517
2025-07-18,-0.009440334092272707,0.016933180101905254,101693.31801019053,-0.004669899024664492,0.19724158362405042,119724.15836240504
2025-07-21,0.0011826861125540657,0.018135892851407265,101813.58928514073,0.003222490765929262,0.20109968357186547,120109.96835718655
2025-07-22,-0.0066479070274404585,0.011367420094430924,101136.7420094431,-0.0011556283415922208,0.19971165873645247,119971.16587364525
2025-07-23,0.004225665357837449,0.015641120365569305,101564.11203655694,0.004584494656782488,0.20521173042560958,120521.17304256096
2025-07-24,-0.005238336090140183,0.010320850830127792,101032.08508301279,-0.005654658363766767,0.1983966698340487,119839.66698340487
2025-07-25,-0.008748572499101681,0.0014819856192864744,100148.19856192864,-0.009003823986625558,0.1876065171527046,118760.65171527046
2025-07-28,-0.003714152991791953,-0.00223767169382727,99776.23283061727,-0.006814298818977626,0.17951381146546086,117951.38114654609
2025-07-29,0.0010081424129506954,-0.00123178517261735,99876.82148273826,0.005432231888119125,0.18592120400458034,118592.12040045804
2025-07-30,-0.003224423584476461,-0.004452236959932354,99554.77630400677,0.000655454997145647,0.18669852198396608,118669.8521983966
2025-07-31,0.007692520850582301,0.0032060349650038233,100320.6034965004,-0.0027849062588168588,0.18339367784276428,118339.36778427643
2025-08-07,-0.03190096926455141,-0.02879720992242718,97120.27900775729,0.03232630872545325,0.22164842721645917,122164.84272164591
2025-08-08,0.0041822311223795716,-0.024735415387622806,97526.45846123772,-0.05068179440675701,0.15973309279093661,115973.30927909366
2025-08-12,-0.05476814721494801,-0.07814884973119862,92185.11502688014,0.05320273473365941,0.22143406488853934,122143.40648885393
2025-08-13,0.10496745721942174,0.018615521447316485,101861.55214473166,-0.012709078226620324,0.20591076380921192,120591.0763809212
2025-08-14,0.003781137785852823,0.02246704708471725,102246.70470847172,-0.0012464580436966123,0.20440764663768163,120440.76466376816
2025-08-18,0.013406604843270041,0.03617485875024706,103617.48587502471,0.01378207045200733,0.22100687767657856,122100.68776765786
2025-08-19,0.002175043690174363,0.03842858433868912,103842.85843386891,0.0032676847923064243,0.22499674328206365,122499.67432820637
2025-08-20,0.007492730702625557,0.0462092500750475,104620.92500750476,0.003991300548254498,0.22988607345513534,122988.60734551353
2025-08-21,0.0019453088912301316,0.04824445023130597,104824.4450231306,0.00028837733761688294,0.2302407447265702,123024.07447265701
2025-08-22,-0.009812645500123778,0.03795839904371401,103795.8399043714,-0.008181569084471747,0.22017544508305775,122017.54450830577
2025-08-25,0.001996827382482498,0.04003102279680215,104003.10227968021,0.003661387692014712,0.22464298043978337,122464.29804397834
2025-08-26,-0.017497106725219858,0.021833488993386885,102183.34889933869,-0.021073381545545694,0.19883561165590158,119883.56116559016
2025-08-28,-0.015014809432805552,0.006490853884092429,100649.08538840924,-0.008171009141054262,0.18903991491443972,118903.99149144397
2025-08-29,-0.0012830974678274885,0.005199428018082042,100519.94280180821,-0.0011476750720420923,0.18767528344442952,118767.52834444295
2025-09-09,0.004506038980718861,0.009728895824127726,100972.88958241278,0.02134385598490128,0.21302485365109414,121302.48536510942
2025-09-10,0.0063786558730312215,0.01616960897564579,101616.96089756457,0.013943685726228667,0.22993889098850961,122993.88909885097
2025-09-12,-0.07721374491096505,-0.06229265199807499,93770.7348001925,0.011930035634467201,0.2446121057862196,124461.21057862196
2025-09-15,0.082584447959948,0.015147391684650735,101514.73916846508,-0.008305448245947212,0.23427504435533275,123427.50443553328
