symbol,pulled_on,pulled_at,date,submissionDate,broadcastDate,recordId,xbrl,desc,pr_and_prgrp,public_val,source
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_APOLLOHOSP_shareholding_20230930,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.33,5.68,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_APOLLOHOSP_shareholding_20231231,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.33,5.32,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_APOLLOHOSP_shareholding_20240331,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.33,5.26,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_APOLLOHOSP_shareholding_20240630,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.33,5.38,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_APOLLOHOSP_shareholding_20240930,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.33,5.12,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_APOLLOHOSP_shareholding_20241231,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.33,5.21,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_APOLLOHOSP_shareholding_20250331,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.34,5.41,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_APOLLOHOSP_shareholding_20250630,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,29.34,5.61,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_APOLLOHOSP_shareholding_20250930,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,28.02,6.43,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_APOLLOHOSP_shareholding_20251231,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,28.02,6.71,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_APOLLOHOSP_shareholding_20260331,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,28.02,6.39,screener
APOLLOHOSP,2026-07-08,2026-07-08T20:26:41,2026-06-30,2026-06-30,2026-06-30,screener_APOLLOHOSP_shareholding_20260630,https://www.screener.in/company/APOLLOHOSP/consolidated/,screener shareholding table,28.02,6.53,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_ASIANPAINT_shareholding_20230630,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.82,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_ASIANPAINT_shareholding_20230930,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.64,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_ASIANPAINT_shareholding_20231231,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.44,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_ASIANPAINT_shareholding_20240331,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.78,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_ASIANPAINT_shareholding_20240630,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.68,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_ASIANPAINT_shareholding_20240930,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,18.88,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_ASIANPAINT_shareholding_20241231,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.66,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_ASIANPAINT_shareholding_20250331,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,19.51,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_ASIANPAINT_shareholding_20250630,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,14.41,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_ASIANPAINT_shareholding_20250930,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,14.09,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_ASIANPAINT_shareholding_20251231,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,13.37,screener
ASIANPAINT,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_ASIANPAINT_shareholding_20260331,https://www.screener.in/company/ASIANPAINT/consolidated/,screener shareholding table,52.63,13.39,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_AXISBANK_shareholding_20230630,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.19,9.91,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_AXISBANK_shareholding_20230930,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.22,9.76,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_AXISBANK_shareholding_20231231,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.2,8.27,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_AXISBANK_shareholding_20240331,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.22,7.81,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_AXISBANK_shareholding_20240630,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.31,6.63,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_AXISBANK_shareholding_20240930,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.29,6.71,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_AXISBANK_shareholding_20241231,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.23,6.97,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_AXISBANK_shareholding_20250331,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.18,6.99,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_AXISBANK_shareholding_20250630,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.17,6.8,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_AXISBANK_shareholding_20250930,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.16,7.06,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_AXISBANK_shareholding_20251231,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.15,6.61,screener
AXISBANK,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_AXISBANK_shareholding_20260331,https://www.screener.in/company/AXISBANK/consolidated/,screener shareholding table,8.14,6.44,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_BAJAJ-AUTO_shareholding_20230630,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,54.99,21.72,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_BAJAJ-AUTO_shareholding_20230930,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,54.99,21.54,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_BAJAJ-AUTO_shareholding_20231231,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,54.95,21.67,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_BAJAJ-AUTO_shareholding_20240331,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.06,21.88,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_BAJAJ-AUTO_shareholding_20240630,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.06,21.92,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_BAJAJ-AUTO_shareholding_20240930,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.04,21.89,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_BAJAJ-AUTO_shareholding_20241231,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.04,22.44,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_BAJAJ-AUTO_shareholding_20250331,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.03,22.32,screener
