score_date,symbol,technical_score,value_score_0_50,momentum_score_0_50,open,high,low,close,previous_close,volume,turnover,trades,return_21d_pct,return_63d_pct,return_126d_pct,return_252d_pct,sma_20,sma_50,sma_200,sma50_over_sma200_pct,close_vs_sma20_pct,volume_sma_20,volume_vs_sma20_pct,rolling_high_252,rolling_low_252,discount_to_252d_high_pct,premium_to_252d_low_pct,discount_to_sma200_pct,bollinger_upper_20_2,bollinger_lower_20_2,bollinger_pct_b,rsi_14,value_discount_high_rank,value_discount_sma200_rank,value_rsi_rank,value_bollinger_rank,momentum_21d_rank,momentum_63d_rank,momentum_126d_rank,momentum_trend_rank,value_discount_high_weight,value_discount_sma200_weight,value_rsi_weight,value_bollinger_weight,momentum_21d_weight,momentum_63d_weight,momentum_126d_weight,momentum_trend_weight,instrument_name,isin
2026-02-20,ADANIENT,51.77,14.12,37.65,2160.0,2174.4,2152.1,2160.8,2156.7,738454,1596812213.1,27557,0.34830260530349655,-14.488107958367957,-17.163120567375877,,2123.06,2214.61,2388.371264367816,-7.275303758681295,1.777622865109807,1902875.65,-61.19273479588643,2975.0,1770.1,27.36806722689075,22.072199310773417,9.528303566658936,2584.857446597767,1661.2625534022327,0.5408620708906522,53.15883626777139,12.0,26.53061224489796,54.0,40.0,54.0,90.0,83.6734693877551,81.63265306122449,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI ENTERPRISES LIMITED,INE423A01024
2026-02-20,ADANIPORTS,43.63,27.31,16.32,1513.3,1529.2,1505.2,1511.5,1513.3,1126987,1707671457.2,32537,5.699300699300691,3.6765210233898005,3.7619276446763106,,1460.56,1470.5320000000002,1433.0580459770115,2.6149641410680102,3.4877033466615526,2493750.45,-54.80754700214692,1817.8,1290.5,16.850038508086694,17.12514529252228,-5.473745759510348,1682.4308908589096,1238.6891091410903,0.6147964922365444,56.11737400530503,40.0,65.3061224489796,74.0,50.0,24.0,36.0,40.816326530612244,34.69387755102041,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI PORT & SEZ LTD,INE742F01042
2026-02-20,APOLLOHOSP,57.56,34.86,22.7,7540.0,7635.0,7540.0,7615.5,7592.5,256304,1948629193.5,30254,4.7163973874183585,-2.2400513478818995,3.57701462087725,,7239.175,7229.46,7408.551724137931,-2.4173648346738186,5.198451481004396,449210.45,-42.943446662917125,8249.5,6696.5,7.685314261470393,13.723586948405883,-2.793370196604109,8061.603769911994,6416.746230088006,0.7287888105132007,61.570945945945944,60.0,63.26530612244898,94.0,74.0,32.0,54.0,42.857142857142854,67.3469387755102,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,APOLLO HOSPITALS ENTER. L,INE437A01024
2026-02-20,ASIANPAINT,47.74,13.55,34.19,2378.2,2435.7,2376.1,2428.1,2400.8,790329,1913505617.8,37377,-13.710508546856682,-3.7804636417673954,0.7301389753163301,,2512.525,2641.59,2528.1683908045975,4.486315453034595,-3.3601655704918465,1540407.7,-48.69351795631766,2985.7,2142.4,18.67568744348059,13.335511575802828,3.9581378822931375,2848.782431927262,2176.267568072738,0.37446374119358844,45.337420374539,32.0,38.775510204081634,14.000000000000002,12.0,92.0,62.0,59.183673469387756,26.53061224489796,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ASIAN PAINTS LIMITED,INE021A01026
2026-02-20,AXISBANK,51.47,41.51,9.96,1351.0,1376.5,1351.0,1368.3,1356.6,3791536,5189851941.7,128928,5.351093316907907,10.471500080736318,17.108866826429292,,1317.89,1274.2079999999999,1196.3172413793104,6.51087821244507,3.825053684298374,8506914.75,-55.42995185181561,1384.9,1042.5,1.1986425012636388,31.251798561151073,-14.376016049254597,1416.4632727734272,1219.316727226573,0.7556981146191036,54.03040073698757,94.0,85.71428571428571,60.0,80.0,28.000000000000004,12.0,22.448979591836736,14.285714285714285,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,AXIS BANK LIMITED,INE238A01034
2026-02-20,BAJAJ-AUTO,46.01,32.69,13.31,9725.0,9823.0,9670.5,9807.0,9729.0,291070,2842511730.5,39529,2.3748629886737316,9.906981956741001,18.121047877145436,,9561.075,9298.24,8866.431034482759,4.870155351548733,2.572148006369579,309131.85,-5.8427657971833025,10619.0,7858.5,7.646671061305208,24.794808169497994,-10.608202577330609,10210.058518970034,8912.091481029967,0.6894693723426856,53.63070539419086,62.0,77.55102040816327,57.99999999999999,64.0,44.0,14.000000000000002,20.408163265306122,22.448979591836736,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ AUTO LIMITED,INE917I01010
2026-02-20,BAJAJFINSV,60.72,34.44,26.28,2033.2,2063.9,2021.1,2058.5,2033.2,459679,944573581.7,20845,2.8787045829376634,-2.6529840158895257,1.1051080550098291,,1960.025,1990.51,2014.8436781609196,-1.2077204015713328,5.0241706100687455,1210679.6,-62.03132521601917,2195.0,1597.0,6.21867881548975,28.8979336255479,-2.1667349339442756,2169.586335073753,1750.4636649262468,0.7349550788205818,56.850914752822106,70.0,57.14285714285714,76.0,76.0,40.0,60.0,57.14285714285714,61.224489795918366,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINSERV LTD.,INE918I01026
2026-02-20,BAJFINANCE,35.82,16.97,18.85,1015.9,1036.6,1008.75,1030.2,1017.05,6922705,7115104290.15,97443,8.906390401183994,-2.100161550888524,11.76566314076486,,956.4200000000001,1138.025,1445.6658045977013,-21.280215912924028,7.714184145040881,8673266.75,-20.183418779319794,9788.0,792.45,89.4748671843073,30.001892863903084,28.738717017195874,1066.0054264227576,846.8345735772425,0.8366323534453032,59.024847632442565,2.0,6.122448979591836,86.0,96.0,12.0,52.0,28.57142857142857,95.91836734693877,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINANCE LIMITED,INE296A01032
2026-02-20,BEL,50.7,35.63,15.06,435.0,445.4,433.7,441.15,435.35,9533724,4215178577.35,95796,5.639367816091934,7.623810685533061,8.617505847593243,,429.275,413.027,404.59798850574714,2.0833053385615363,2.766292003960169,22857019.55,-58.28973248614122,461.65,361.2,4.440593523231886,22.13455149501661,-9.03415551551454,465.0364390973828,393.51356090261714,0.6660307904229316,55.02392344497608,76.0,73.46938775510205,66.0,62.0,26.0,28.000000000000004,34.69387755102041,42.857142857142854,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARAT ELECTRONICS LTD,INE263A01024
2026-02-20,BHARTIARTL,55.27,23.62,31.64,1981.1,1993.7,1971.0,1977.4,1988.6,5180301,10275171540.9,92932,-2.2299134734239723,-4.302376228040461,2.1067850872663607,,1972.3849999999998,2019.922,1977.66091954023,2.13692246442303,0.25426070467988726,6477492.35,-20.026134805083938,2174.5,1746.9,9.064152678776725,13.194802221077337,0.013193340559642828,2117.0171253532917,1827.7528746467078,0.517337088795972,50.25786487880351,57.99999999999999,48.97959183673469,32.0,36.0,74.0,66.0,51.02040816326531,40.816326530612244,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARTI AIRTEL LIMITED,INE397D01024
