score_date,symbol,technical_score,value_score_0_50,momentum_score_0_50,open,high,low,close,previous_close,volume,turnover,trades,return_21d_pct,return_63d_pct,return_126d_pct,return_252d_pct,sma_20,sma_50,sma_200,sma50_over_sma200_pct,close_vs_sma20_pct,volume_sma_20,volume_vs_sma20_pct,rolling_high_252,rolling_low_252,discount_to_252d_high_pct,premium_to_252d_low_pct,discount_to_sma200_pct,bollinger_upper_20_2,bollinger_lower_20_2,bollinger_pct_b,rsi_14,value_discount_high_rank,value_discount_sma200_rank,value_rsi_rank,value_bollinger_rank,momentum_21d_rank,momentum_63d_rank,momentum_126d_rank,momentum_trend_rank,value_discount_high_weight,value_discount_sma200_weight,value_rsi_weight,value_bollinger_weight,momentum_21d_weight,momentum_63d_weight,momentum_126d_weight,momentum_trend_weight,instrument_name,isin
2026-05-08,ADANIENT,48.7,40.2,8.5,2519.0,2546.1,2500.0,2505.9,2513.7,1499613,3780532778.0,50320,33.143828701981846,25.583842838528614,1.0036275695284091,,2310.1400000000003,2121.196,2286.8619999999996,-7.2442499809782905,8.473945302016306,2706938.25,-44.60113746591744,2695.0,1753.0,7.0166975881261555,42.94922989161438,-9.578103094983453,2614.3238253078976,2005.9561746921029,0.8217791080802045,80.54375531011046,74.0,76.0,96.0,84.0,2.0,2.0,46.0,64.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI ENTERPRISES LIMITED,INE423A01024
2026-05-08,ADANIPORTS,50.15,46.65,3.5,1740.4,1792.0,1727.7,1760.4,1732.8,4984856,8779389831.6,113348,27.47284576393918,25.46504169339321,21.281433000344485,,1613.285,1498.046,1452.3575,3.1458163709692677,9.118971539436615,4018347.1,24.05239955503098,1792.0,1290.5,1.7633928571428519,36.41224331654398,-21.20982609309347,1805.7093476770756,1420.8606523229246,0.8822671137409462,80.416395575797,92.0,98.0,94.0,88.0,4.0,4.0,6.0,30.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI PORT & SEZ LTD,INE742F01042
2026-05-08,APOLLOHOSP,56.65,45.1,11.55,7837.0,8115.0,7812.5,8097.0,7837.0,922866,7410420919.0,109795,10.516617757455805,16.78084661426409,5.415961463351127,,7705.375,7615.43,7482.575,1.7755251367343572,5.082491118212928,402776.4,129.12613549353935,8115.0,6696.5,0.22181146025878,20.91391025162398,-8.211411178638372,7981.957504108514,7428.792495891486,1.207971390421628,67.4103237095363,100.0,72.0,86.0,100.0,32.0,6.0,32.0,34.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,APOLLO HOSPITALS ENTER. L,INE437A01024
2026-05-08,ASIANPAINT,46.25,32.9,13.35,2540.0,2607.4,2515.4,2599.9,2530.6,2327900,6023599214.6,122821,18.923245814655587,8.238967527060792,3.5486697466942774,,2465.355,2344.096,2523.547,-7.111062326162343,5.457429051799845,1232366.45,88.89673603172174,2985.7,2115.0,12.921592926281935,22.92671394799055,-3.0256222689729997,2620.415931656927,2310.294068343073,0.9338455810960862,66.6096308970912,52.0,57.99999999999999,82.0,94.0,8.0,30.0,36.0,62.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ASIAN PAINTS LIMITED,INE021A01026
2026-05-08,AXISBANK,51.6,20.95,30.65,1280.0,1282.0,1264.6,1268.3,1292.7,6358595,8081515056.7,206694,1.4558835293176475,-3.293938238658034,2.879623621025318,,1325.125,1295.6960000000001,1227.337,5.56970090529334,-4.288274691066885,7273078.8,-12.57354450772622,1418.3,1042.5,10.576041740111402,21.659472422062347,-3.3375511371367415,1406.9678243325989,1243.2821756674011,0.1528406707405988,30.92436974789915,60.0,60.0,10.0,6.0,80.0,66.0,40.0,22.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,AXIS BANK LIMITED,INE238A01034
2026-05-08,BAJAJ-AUTO,54.35,46.65,7.7,10625.0,10785.0,10540.0,10711.5,10605.0,375627,4018766386.5,55106,18.365655561080718,12.79418733217501,20.455439977509137,,9872.15,9547.22,9137.34,4.485769381461124,8.502200635120015,480659.75,-21.851788089183664,10785.0,7858.5,0.6815020862308763,36.30463828974995,-17.227770882992203,10563.11516021544,9181.184839784559,1.1073750518320589,74.07597535934292,94.0,92.0,90.0,98.0,10.0,22.0,8.0,26.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ AUTO LIMITED,INE917I01010
2026-05-08,BAJAJFINSV,51.95,18.65,33.3,1824.5,1827.2,1802.5,1818.3,1824.5,719570,1305344145.7,43104,7.949418190453561,-5.792445987254546,-12.929176842407708,,1802.725,1811.2879999999998,1971.726,-8.136931804926261,0.8639698234617077,1121245.7,-35.824057117900196,2195.0,1597.0,17.161731207289296,13.85723231058234,7.781304298873177,1865.8841765221368,1739.565823477863,0.623299580976496,45.985970381917355,40.0,28.000000000000004,34.0,50.0,52.0,76.0,74.0,70.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINSERV LTD.,INE918I01026
2026-05-08,BAJFINANCE,39.25,20.35,18.9,971.0,971.95,951.0,955.35,972.75,5555386,5321179811.8,134582,11.723774997076376,5.7153922761978615,-8.386075949367077,,930.7700000000001,916.002,962.5260000000001,-4.8335317695314295,2.6408242637815826,8450067.8,-34.25631448779619,9788.0,787.9,90.23957907642011,21.25269704277193,0.7455383023419673,976.47313129801,885.0668687019902,0.7689093646529886,66.95464362850973,2.0,48.0,84.0,74.0,18.0,38.0,64.0,54.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINANCE LIMITED,INE296A01032
2026-05-08,BEL,52.25,24.7,27.55,439.0,443.8,437.8,439.7,439.45,11164661,4919554661.3,118187,2.781673679289387,0.13664313368253467,3.1917390283970892,,443.32,438.95799999999997,413.81450000000007,6.076031651863301,-0.8165659117567503,12874716.6,-13.28227760757079,473.45,361.2,7.128524659414934,21.73311184939092,-6.255339046843433,460.8059161372171,425.8340838627829,0.3964881230244727,25.29474812433007,70.0,68.0,4.0,24.0,74.0,56.00000000000001,38.0,20.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARAT ELECTRONICS LTD,INE263A01024
2026-05-08,BHARTIARTL,58.4,19.1,39.3,1820.0,1840.8,1815.2,1834.5,1826.6,4839183,8859253117.6,184261,0.22947057859368236,-6.660221837793834,-10.708201508882942,,1844.8049999999998,1849.592,1961.621,-5.711042041250581,-0.5585956239277268,8779607.65,-44.88155743497262,2174.5,1746.9,15.635778339848242,5.014597286622011,6.480405746064101,1889.7100214047998,1799.8999785951999,0.38525782108971096,47.72727272727272,46.0,34.0,40.0,22.0,84.0,84.0,70.0,57.99999999999999,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARTI AIRTEL LIMITED,INE397D01024
