score_date,symbol,technical_score,value_score_0_50,momentum_score_0_50,open,high,low,close,previous_close,volume,turnover,trades,return_21d_pct,return_63d_pct,return_126d_pct,return_252d_pct,sma_20,sma_50,sma_200,sma50_over_sma200_pct,close_vs_sma20_pct,volume_sma_20,volume_vs_sma20_pct,rolling_high_252,rolling_low_252,discount_to_252d_high_pct,premium_to_252d_low_pct,discount_to_sma200_pct,bollinger_upper_20_2,bollinger_lower_20_2,bollinger_pct_b,rsi_14,value_discount_high_rank,value_discount_sma200_rank,value_rsi_rank,value_bollinger_rank,momentum_21d_rank,momentum_63d_rank,momentum_126d_rank,momentum_trend_rank,value_discount_high_weight,value_discount_sma200_weight,value_rsi_weight,value_bollinger_weight,momentum_21d_weight,momentum_63d_weight,momentum_126d_weight,momentum_trend_weight,instrument_name,isin
2025-09-18,ADANIENT,54.31,23.24,31.07,2414.5,2438.0,2388.4,2402.0,2402.0,703730,1695670672.2,35404,0.5694188578127646,-0.7684045278030238,,,2327.225,2405.906,,,3.2130541739625595,637415.1,10.403722785983582,2681.6,2164.8,10.426610978520284,10.957132298595704,,2435.6088378901136,2218.841162109886,0.8449545682069852,84.5107503290918,18.367346938775512,,85.71428571428571,63.26530612244898,63.26530612244898,71.42857142857143,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI ENTERPRISES LIMITED,INE423A01024
2025-09-18,ADANIPORTS,51.66,30.23,21.43,1410.0,1415.0,1401.0,1412.8,1406.1,1416920,1995784682.6,75730,3.1692712136702106,5.590433482810164,,,1358.385,1376.8680000000002,,,4.005859899807485,1690791.75,-16.197840449600022,1494.0,1290.5,5.435073627844715,9.476946919798525,,1428.5587175271426,1288.2112824728574,0.8877163838366745,87.59398496240588,46.93877551020408,,93.87755102040816,69.38775510204081,40.816326530612244,38.775510204081634,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI PORT & SEZ LTD,INE742F01042
2025-09-18,APOLLOHOSP,52.32,29.46,22.86,7875.0,7886.0,7821.0,7850.5,7888.0,264065,2071570747.0,34263,0.34511407937622973,11.998002710607025,,,7816.4,7568.63,,,0.4362622179008291,342277.1,-22.85052082070346,7980.0,6772.0,1.6228070175438596,15.925871234494979,,7998.0739705597525,7634.726029440247,0.5938494378004052,65.66775244299674,83.6734693877551,,44.89795918367347,26.53061224489796,69.38775510204081,18.367346938775512,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,APOLLO HOSPITALS ENTER. L,INE437A01024
2025-09-18,ASIANPAINT,45.84,17.98,27.86,2497.9,2506.2,2469.3,2478.7,2493.6,400796,995696737.6,34436,-3.90400868419013,9.290123456790123,,,2526.75,2476.252,,,-1.9016523201741409,1142754.35,-64.92719542043311,2602.0,2174.8,4.738662567255965,13.973698730917766,,2594.620852592098,2458.879147407902,0.14601888612789743,43.31658291457284,53.06122448979592,,8.16326530612245,4.081632653061225,89.79591836734694,26.53061224489796,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ASIAN PAINTS LIMITED,INE021A01026
2025-09-18,AXISBANK,54.31,26.81,27.5,1129.0,1134.4,1121.2,1133.0,1126.0,5713032,6450514353.6,167251,4.597488921713433,-6.940451745379872,,,1075.04,1089.268,,,5.391427295728524,5353761.3,6.710622305854397,1247.0,1042.5,9.141940657578187,8.6810551558753,,1131.1904520298624,1018.8895479701376,1.016113387379101,86.82885906040279,22.448979591836736,,91.83673469387756,91.83673469387756,26.53061224489796,87.75510204081633,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,AXIS BANK LIMITED,INE238A01034
2025-09-18,BAJAJ-AUTO,44.82,24.46,20.36,9099.5,9115.0,9025.0,9075.0,9084.0,183574,1664129480.5,29365,3.1777613552384842,6.814971751412435,,,8991.3,8558.39,,,0.9308998698742244,435019.0,-57.80092363781812,9490.0,7858.5,4.373024236037935,15.48005344531399,,9460.031816489392,8522.568183510606,0.5892834634385169,65.62169778090878,61.224489795918366,,42.857142857142854,22.448979591836736,38.775510204081634,34.69387755102041,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ AUTO LIMITED,INE917I01010
2025-09-18,BAJAJFINSV,54.46,35.54,18.93,2066.0,2075.0,2045.0,2069.2,2057.0,904666,1864472201.3,65759,4.91836527735523,5.16365114860744,,,2001.2400000000002,1988.2259999999997,,,3.39589454538185,1080774.05,-16.29462235885475,2104.9,1890.6,1.6960425673428796,9.446736485771709,,2114.0839332137884,1888.396066786212,0.8011238533809617,85.69463548830801,81.63265306122449,,89.79591836734694,53.06122448979592,24.489795918367346,40.816326530612244,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINSERV LTD.,INE918I01026
2025-09-18,BAJFINANCE,32.88,20.38,12.5,1007.0,1009.8,990.0,996.5,1007.5,9738376,9703689722.6,146926,10.439986700653892,10.660744031093827,,,936.0600000000001,917.712,,,6.456851056556201,7611548.1,27.942119947977485,9788.0,849.0,89.8191663261136,17.373380447585397,,1035.1025671374673,837.0174328625328,0.8051213319022293,88.56028599285017,2.0408163265306123,,95.91836734693877,55.10204081632652,6.122448979591836,22.448979591836736,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINANCE LIMITED,INE296A01032
2025-09-18,BEL,46.61,28.39,18.21,415.0,415.0,408.2,409.9,412.2,12000897,4921712478.45,137572,7.854229706617533,2.847823359678836,,,381.625,388.519,,,7.409105797576143,14254927.45,-15.812289875947416,436.0,361.2,5.986238532110097,13.4828349944629,,411.4497424659105,351.8002575340895,0.9740191810929822,79.6052631578947,38.775510204081634,,79.59183673469387,85.71428571428571,12.244897959183673,48.97959183673469,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARAT ELECTRONICS LTD,INE263A01024
2025-09-18,BHARTIARTL,52.37,27.73,24.64,1944.5,1949.8,1920.5,1941.1,1941.3,5080814,9846443250.2,194124,1.6442373147614653,3.415023974427278,,,1906.5350000000003,1911.394,,,1.8129748470392393,4061497.75,25.097053174533947,2045.8,1815.0,5.117802326718157,6.947658402203852,,1949.679226911487,1863.3907730885137,0.9005750302457859,69.55871353777117,51.02040816326531,,59.183673469387756,71.42857142857143,53.06122448979592,44.89795918367347,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARTI AIRTEL LIMITED,INE397D01024
