score_date,symbol,technical_score,value_score_0_50,momentum_score_0_50,open,high,low,close,previous_close,volume,turnover,trades,return_21d_pct,return_63d_pct,return_126d_pct,return_252d_pct,sma_20,sma_50,sma_200,sma50_over_sma200_pct,close_vs_sma20_pct,volume_sma_20,volume_vs_sma20_pct,rolling_high_252,rolling_low_252,discount_to_252d_high_pct,premium_to_252d_low_pct,discount_to_sma200_pct,bollinger_upper_20_2,bollinger_lower_20_2,bollinger_pct_b,rsi_14,value_discount_high_rank,value_discount_sma200_rank,value_rsi_rank,value_bollinger_rank,momentum_21d_rank,momentum_63d_rank,momentum_126d_rank,momentum_trend_rank,value_discount_high_weight,value_discount_sma200_weight,value_rsi_weight,value_bollinger_weight,momentum_21d_weight,momentum_63d_weight,momentum_126d_weight,momentum_trend_weight,instrument_name,isin
2026-06-19,ADANIENT,49.9,46.7,3.2,3017.0,3051.9,3009.1,3038.4,3013.4,3620222,10986283617.0,91842,21.633306645316264,40.881902907219384,19.744620477654284,,2691.885,2430.8320000000003,2379.4305,2.1602438062385154,12.872578137624746,2611504.4,38.6259199869623,3059.8,1753.0,0.6993921171318416,73.32572732458644,-27.694420996957053,3362.566768681756,2021.2032313182444,0.7583304155419976,56.51873807300336,98.0,100.0,80.0,88.0,2.0,2.0,6.0,38.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI ENTERPRISES LIMITED,INE423A01024
2026-06-19,ADANIPORTS,52.1,43.85,8.25,1842.1,1849.0,1830.0,1835.3,1842.1,4382841,8047698366.4,64788,5.61054206467948,21.278001718099524,26.15479791036568,,1735.5600000000002,1630.866,1489.6675,9.478524570080227,5.7468482795178355,2535001.9,72.89300651017263,1849.5,1290.5,0.7677750743444199,42.216195273149935,-23.201989705756482,2014.916089681435,1456.2039103185652,0.6785176763351369,52.21652317274226,96.0,98.0,70.0,72.0,38.0,4.0,4.0,10.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI PORT & SEZ LTD,INE742F01042
2026-06-19,APOLLOHOSP,55.1,44.1,11.0,8404.0,8521.0,8400.0,8489.5,8411.5,333583,2826131118.5,35147,6.059091760884505,11.814290418175833,8.029522173442771,,8076.8,7817.32,7539.0625,3.690876683937816,5.109696909667183,461562.65,-27.72747101612316,8534.0,6696.5,0.5214436372158425,26.77518106473531,-12.606839378238341,8883.555190155039,7270.0448098449615,0.7557777161127955,51.78923640462102,100.0,90.0,64.0,86.0,32.0,8.0,24.0,32.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,APOLLO HOSPITALS ENTER. L,INE437A01024
2026-06-19,ASIANPAINT,49.9,36.95,12.95,2752.9,2752.9,2718.8,2732.9,2755.0,838991,2291920744.3,64347,4.404798288508571,13.832889036987673,7.649584432977519,,2612.44,2506.288,2523.6765,-0.6890146181572798,4.611014989817952,1241818.4,-32.43851113818251,2985.7,2115.0,8.467026158019886,29.21513002364067,-8.290424703800191,2936.461548341271,2288.4184516587293,0.685882699185684,53.09775737006721,74.0,72.0,76.0,74.0,40.0,6.0,26.0,46.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ASIAN PAINTS LIMITED,INE021A01026
2026-06-19,AXISBANK,55.35,43.55,11.8,1356.8,1363.0,1350.5,1357.9,1360.1,4640277,6293452921.6,89926,8.138886676753998,0.09582780480614783,8.736386931454199,,1300.215,1296.59,1231.9460000000001,5.247307917717148,4.43657395123116,6879909.65,-32.55322764304035,1418.3,1042.5,4.2586194740181815,30.25419664268586,-10.223987090343241,1391.436864299723,1208.9931357002768,0.8161796814986559,59.98347562654918,86.0,82.0,92.0,92.0,14.000000000000002,34.0,22.0,24.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,AXIS BANK LIMITED,INE238A01034
2026-06-19,BAJAJ-AUTO,51.05,32.1,18.95,10134.0,10134.0,9936.0,10066.0,10077.0,739358,7416730889.0,114647,-1.9099590723055893,3.463870901428723,11.423511179986722,,10156.825,9854.54,9195.7975,7.163516812978976,-0.8942262961112446,368550.2,100.61256241347856,10834.0,7858.5,7.088794535720878,28.09060253228988,-9.46304548354832,11047.77424393209,9265.875756067911,0.4490290829592288,44.902477596204534,82.0,80.0,18.0,52.0,68.0,26.0,14.000000000000002,22.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ AUTO LIMITED,INE917I01010
2026-06-19,BAJAJFINSV,54.05,19.9,34.15,1770.8,1774.0,1752.0,1769.4,1771.7,837089,1479530919.7,66246,2.342529932326909,-12.97462128664174,-17.201684604585864,,1800.5649999999998,1798.3,1955.5004999999999,-8.038888253927823,-1.730845595688002,1136288.95,-26.331326200083172,2195.0,1597.0,19.38952164009111,10.795241077019417,9.516770770449805,1979.8025580354872,1621.3274419645124,0.41306230585380616,50.16437826339201,40.0,24.0,56.00000000000001,44.0,46.0,84.0,78.0,72.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINSERV LTD.,INE918I01026
2026-06-19,BAJFINANCE,42.8,16.55,26.25,954.05,971.7,953.25,961.8,958.85,12941776,12457330966.7,158695,7.325782514088042,-5.432377955852708,-9.515969706947658,,936.7875,920.423,1127.69325,-18.380020453257128,2.6700292222088695,10121006.9,27.870439452027252,9788.0,787.9,90.17368205966491,22.071328848838682,14.710848894413447,999.648171957868,873.926828042132,0.6989518980704216,54.96652398199977,2.0,20.0,78.0,78.0,20.0,66.0,64.0,96.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINANCE LIMITED,INE296A01032
2026-06-19,BEL,57.2,34.2,23.0,427.9,431.6,424.55,426.9,428.6,10829044,4627552168.55,109590,-0.3152364273204977,-1.9409670380153954,4.837917485265231,,423.2125,429.279,413.336,3.8571525344997637,0.8713116932982823,14917794.25,-27.40854432953451,473.45,361.2,9.832083641356007,18.189368770764116,-3.2815917316662384,449.41910573616053,397.0058942638394,0.5703543991374642,52.87739783152626,70.0,64.0,74.0,64.0,57.99999999999999,42.0,40.0,30.0,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARAT ELECTRONICS LTD,INE263A01024
2026-06-19,BHARTIARTL,52.6,29.85,22.75,1874.3,1917.5,1867.2,1910.8,1874.8,15918432,30336272702.9,156746,6.796333556896927,-3.9123001106305955,-9.035513662763018,,1890.9000000000003,1872.4219999999998,1950.9325,-4.024255067768879,1.052408905812019,10793956.55,47.47541298931761,2174.5,1740.5,12.12692573005289,9.784544671071528,2.057093210554437,2033.7262101849294,1748.0737898150712,0.5696650844905617,52.56376887038,60.0,48.0,72.0,62.0,24.0,54.0,62.0,57.99999999999999,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARTI AIRTEL LIMITED,INE397D01024
