symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2026-05-26,2026-05-26,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2846.0,2979.4,2825.0,2969.3,2973.0,2849.7,2969.3,4899494,14310255450.5,147603
ADANIPORTS,2026-05-26,2026-05-26,EQ,INE742F01042,ADANI PORT & SEZ LTD,1805.0,1820.5,1800.0,1811.2,1809.9,1802.9,1811.2,2104926,3810330622.7,59370
APOLLOHOSP,2026-05-26,2026-05-26,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,8404.0,8434.0,8228.0,8258.5,8265.0,8404.0,8258.5,310581,2577159204.5,33779
ASIANPAINT,2026-05-26,2026-05-26,EQ,INE021A01026,ASIAN PAINTS LIMITED,2650.0,2664.3,2635.9,2647.0,2644.4,2657.8,2647.0,486267,1289155442.6,49205
AXISBANK,2026-05-26,2026-05-26,EQ,INE238A01034,AXIS BANK LIMITED,1309.8,1317.0,1291.5,1299.3,1301.5,1311.2,1299.3,6455265,8403663867.6,123109
BAJAJ-AUTO,2026-05-26,2026-05-26,EQ,INE917I01010,BAJAJ AUTO LIMITED,10530.0,10641.5,10449.0,10593.0,10605.0,10491.0,10593.0,559535,5906489444.0,72550
BAJAJFINSV,2026-05-26,2026-05-26,EQ,INE918I01026,BAJAJ FINSERV LTD.,1807.4,1812.8,1796.2,1800.7,1807.0,1807.4,1800.7,811184,1463498130.1,37947
BAJFINANCE,2026-05-26,2026-05-26,EQ,INE296A01032,BAJAJ FINANCE LIMITED,943.95,948.4,928.1,930.2,932.0,941.9,930.2,8489543,7967235823.8,125963
BEL,2026-05-26,2026-05-26,EQ,INE263A01024,BHARAT ELECTRONICS LTD,423.5,425.55,418.85,420.1,420.5,421.85,420.1,12315435,5199755309.55,119247
BHARTIARTL,2026-05-26,2026-05-26,EQ,INE397D01024,BHARTI AIRTEL LIMITED,1874.0,1874.0,1844.8,1846.9,1847.0,1874.8,1846.9,5803034,10770919595.6,164058
CIPLA,2026-05-26,2026-05-26,EQ,INE059A01026,CIPLA LTD,1413.9,1422.6,1409.6,1417.5,1418.7,1413.9,1417.5,1132793,1604530095.4,34679
COALINDIA,2026-05-26,2026-05-26,EQ,INE522F01014,COAL INDIA LTD,458.0,475.65,455.0,458.15,455.9,458.0,458.15,17073323,7963826237.75,145118
DRREDDY,2026-05-26,2026-05-26,EQ,INE089A01031,DR. REDDY S LABORATORIES,1333.0,1341.0,1321.6,1327.9,1329.6,1331.4,1327.9,1909354,2544927628.3,40304
EICHERMOT,2026-05-26,2026-05-26,EQ,INE066A01021,EICHER MOTORS LTD,7415.0,7441.0,7355.0,7376.0,7356.0,7414.0,7376.0,388413,2872799302.0,41022
ETERNAL,2026-05-26,2026-05-26,EQ,INE758T01015,ETERNAL LIMITED,247.5,253.04,245.8,250.17,251.0,247.67,250.17,24447430,6127260127.62,152654
GRASIM,2026-05-26,2026-05-26,EQ,INE047A01021,GRASIM INDUSTRIES LTD,3168.4,3196.2,3155.0,3165.0,3164.9,3171.6,3165.0,984415,3122543497.3,46813
HCLTECH,2026-05-26,2026-05-26,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1165.7,1173.7,1160.0,1161.9,1162.9,1165.7,1161.9,1196820,1395469868.5,51436
