symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2025-08-11,2025-08-11,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2196.0,2302.0,2183.0,2283.4,2270.2,2178.1,2283.4,2376286,5364800460.4,118272
ADANIPORTS,2025-08-11,2025-08-11,EQ,INE742F01042,ADANI PORT & SEZ LTD,1325.0,1348.3,1313.7,1339.4,1342.8,1325.0,1339.4,2053173,2733329998.0,90873
APOLLOHOSP,2025-08-11,2025-08-11,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,7101.0,7320.0,7020.5,7259.0,7248.0,7084.5,7259.0,498598,3571622069.0,68116
ASIANPAINT,2025-08-11,2025-08-11,EQ,INE021A01026,ASIAN PAINTS LIMITED,2463.9,2504.2,2452.0,2489.1,2491.4,2475.6,2489.1,721135,1791520953.6,66377
AXISBANK,2025-08-11,2025-08-11,EQ,INE238A01034,AXIS BANK LIMITED,1058.1,1075.4,1052.6,1073.3,1071.1,1058.1,1073.3,5452775,5805057926.7,138304
BAJAJ-AUTO,2025-08-11,2025-08-11,EQ,INE917I01010,BAJAJ AUTO LIMITED,8235.0,8300.0,8132.5,8275.0,8242.5,8224.0,8275.0,180274,1482602090.5,27061
BAJAJFINSV,2025-08-11,2025-08-11,EQ,INE918I01026,BAJAJ FINSERV LTD.,1918.0,1939.8,1903.1,1922.8,1929.3,1919.2,1922.8,1489228,2847436287.7,59594
BAJFINANCE,2025-08-11,2025-08-11,EQ,INE296A01032,BAJAJ FINANCE LIMITED,877.15,888.3,872.75,877.8,876.45,877.15,877.8,5367926,4708046915.65,121396
BEL,2025-08-11,2025-08-11,EQ,INE263A01024,BHARAT ELECTRONICS LTD,384.0,388.4,381.55,383.9,383.7,384.6,383.9,8910936,3424429833.8,123840
BHARTIARTL,2025-08-11,2025-08-11,EQ,INE397D01024,BHARTI AIRTEL LIMITED,1863.0,1866.0,1845.7,1857.4,1855.3,1858.6,1857.4,5266532,9783347103.0,182542
CIPLA,2025-08-11,2025-08-11,EQ,INE059A01026,CIPLA LTD,1488.0,1514.0,1480.2,1504.8,1501.0,1485.8,1504.8,898160,1346529169.2,49300
COALINDIA,2025-08-11,2025-08-11,EQ,INE522F01014,COAL INDIA LTD,378.0,384.7,376.55,382.5,381.5,379.7,382.5,5740719,2180760373.35,70627
DRREDDY,2025-08-11,2025-08-11,EQ,INE089A01031,DR. REDDY S LABORATORIES,1212.5,1237.0,1208.6,1219.5,1219.9,1211.4,1219.5,1246374,1522205776.1,58958
EICHERMOT,2025-08-11,2025-08-11,EQ,INE066A01021,EICHER MOTORS LTD,5677.0,5708.5,5652.5,5671.5,5678.5,5663.0,5671.5,475811,2700844083.5,49872
ETERNAL,2025-08-11,2025-08-11,EQ,INE758T01015,ETERNAL LIMITED,300.9,310.4,299.5,309.4,309.0,300.9,309.4,44948318,13723244767.75,182343
GRASIM,2025-08-11,2025-08-11,EQ,INE047A01021,GRASIM INDUSTRIES LTD,2726.0,2795.0,2720.0,2758.9,2763.0,2691.6,2758.9,1236332,3401957924.8,70346
HCLTECH,2025-08-11,2025-08-11,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1475.0,1531.0,1465.6,1488.0,1484.1,1475.7,1488.1,2374556,3525455889.2,92769
HDFCBANK,2025-08-11,2025-08-11,EQ,INE040A01034,HDFC BANK LTD,1975.9,1997.6,1973.1,1995.6,1992.0,1973.9,1995.6,4552927,9046155578.7,165998
HDFCLIFE,2025-08-11,2025-08-11,EQ,INE795G01014,HDFC LIFE INS CO LTD,763.5,765.85,753.7,764.75,765.0,761.55,764.75,1719052,1307455654.2,78356
