symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2026-04-24,2026-04-24,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2310.2,2321.4,2227.0,2287.6,2282.0,2300.0,2287.6,2271317,5158677471.8,72842
ADANIPORTS,2026-04-24,2026-04-24,EQ,INE742F01042,ADANI PORT & SEZ LTD,1612.0,1618.8,1556.5,1585.1,1590.0,1602.9,1585.2,2290223,3621318567.7,72977
APOLLOHOSP,2026-04-24,2026-04-24,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,7814.0,7845.0,7684.5,7732.5,7740.0,7781.0,7732.5,407458,3158689468.5,50129
ASIANPAINT,2026-04-24,2026-04-24,EQ,INE021A01026,ASIAN PAINTS LIMITED,2521.4,2538.9,2470.7,2485.1,2483.7,2521.4,2485.1,436871,1089049878.2,47372
AXISBANK,2026-04-24,2026-04-24,EQ,INE238A01034,AXIS BANK LIMITED,1369.0,1375.0,1350.0,1365.9,1362.0,1369.6,1365.9,3648313,4968325028.1,173822
BAJAJ-AUTO,2026-04-24,2026-04-24,EQ,INE917I01010,BAJAJ AUTO LIMITED,9600.0,9663.0,9528.0,9576.0,9581.0,9550.5,9576.0,190469,1827807584.0,24902
BAJAJFINSV,2026-04-24,2026-04-24,EQ,INE918I01026,BAJAJ FINSERV LTD.,1792.7,1799.9,1757.3,1770.7,1777.7,1792.6,1770.7,920624,1632761465.6,41498
BAJFINANCE,2026-04-24,2026-04-24,EQ,INE296A01032,BAJAJ FINANCE LIMITED,920.0,924.7,909.8,921.55,922.1,918.35,921.55,3982355,3651861150.65,92877
BEL,2026-04-24,2026-04-24,EQ,INE263A01024,BHARAT ELECTRONICS LTD,450.0,451.2,438.75,444.45,443.2,449.95,444.45,11651499,5165849064.25,109610
BHARTIARTL,2026-04-24,2026-04-24,EQ,INE397D01024,BHARTI AIRTEL LIMITED,1845.0,1850.7,1807.3,1814.5,1818.0,1841.2,1814.5,6306448,11461490981.7,170816
CIPLA,2026-04-24,2026-04-24,EQ,INE059A01026,CIPLA LTD,1295.0,1303.9,1254.1,1295.0,1296.0,1305.9,1295.0,4427307,5696241560.4,118784
COALINDIA,2026-04-24,2026-04-24,EQ,INE522F01014,COAL INDIA LTD,452.75,462.0,451.05,456.0,455.0,450.65,456.0,16441909,7510663387.05,136410
DRREDDY,2026-04-24,2026-04-24,EQ,INE089A01031,DR. REDDY S LABORATORIES,1293.0,1348.8,1293.0,1317.1,1313.0,1331.0,1317.1,5638719,7445174397.2,143629
EICHERMOT,2026-04-24,2026-04-24,EQ,INE066A01021,EICHER MOTORS LTD,7054.5,7160.0,7049.0,7111.5,7132.0,7092.5,7111.5,413746,2942747176.5,38379
ETERNAL,2026-04-24,2026-04-24,EQ,INE758T01015,ETERNAL LIMITED,259.9,261.5,252.17,256.79,257.35,259.92,256.79,33365767,8517255017.34,188796
