symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2026-05-20,2026-05-20,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2715.0,2720.0,2685.1,2704.8,2705.5,2725.0,2704.8,1187449,3206620252.2,48389
ADANIPORTS,2026-05-20,2026-05-20,EQ,INE742F01042,ADANI PORT & SEZ LTD,1749.0,1777.8,1744.3,1772.6,1770.0,1762.8,1772.6,1283223,2265782148.7,52534
APOLLOHOSP,2026-05-20,2026-05-20,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,7924.0,8140.0,7814.5,8078.5,8075.0,8026.0,8085.0,492013,3960871642.0,53447
ASIANPAINT,2026-05-20,2026-05-20,EQ,INE021A01026,ASIAN PAINTS LIMITED,2562.0,2614.0,2562.0,2598.6,2605.0,2600.7,2598.6,586190,1524272270.2,57060
AXISBANK,2026-05-20,2026-05-20,EQ,INE238A01034,AXIS BANK LIMITED,1234.0,1254.1,1226.6,1249.8,1251.2,1238.3,1249.8,3562641,4433563311.9,116874
BAJAJ-AUTO,2026-05-20,2026-05-20,EQ,INE917I01010,BAJAJ AUTO LIMITED,10158.0,10483.0,10078.5,10462.5,10462.5,10205.0,10462.5,379649,3936475023.5,58129
BAJAJFINSV,2026-05-20,2026-05-20,EQ,INE918I01026,BAJAJ FINSERV LTD.,1732.5,1780.0,1726.0,1772.0,1761.8,1749.8,1772.0,779574,1373314628.4,40023
BAJFINANCE,2026-05-20,2026-05-20,EQ,INE296A01032,BAJAJ FINANCE LIMITED,910.0,926.3,908.45,923.1,925.45,923.55,923.1,5864990,5385474515.6,127305
BEL,2026-05-20,2026-05-20,EQ,INE263A01024,BHARAT ELECTRONICS LTD,416.3,420.0,407.0,413.3,413.35,422.95,413.3,28012723,11540314087.5,244560
BHARTIARTL,2026-05-20,2026-05-20,EQ,INE397D01024,BHARTI AIRTEL LIMITED,1914.0,1914.0,1897.7,1904.9,1908.2,1913.5,1904.9,5778742,11008704118.2,228182
CIPLA,2026-05-20,2026-05-20,EQ,INE059A01026,CIPLA LTD,1392.3,1422.1,1392.3,1399.5,1400.1,1409.8,1399.5,1316586,1855349288.6,54601
COALINDIA,2026-05-20,2026-05-20,EQ,INE522F01014,COAL INDIA LTD,456.0,460.05,452.7,458.7,459.0,456.95,458.7,3756072,1718661343.6,53957
DRREDDY,2026-05-20,2026-05-20,EQ,INE089A01031,DR. REDDY S LABORATORIES,1323.6,1336.0,1319.6,1321.9,1320.9,1335.2,1321.9,1277182,1695067290.3,51554
EICHERMOT,2026-05-20,2026-05-20,EQ,INE066A01021,EICHER MOTORS LTD,6813.0,6905.0,6752.5,6849.5,6859.0,6882.5,6849.5,455047,3120996199.0,53893
ETERNAL,2026-05-20,2026-05-20,EQ,INE758T01015,ETERNAL LIMITED,243.0,245.68,242.3,243.34,243.5,247.21,243.34,23420943,5713924970.51,170688
GRASIM,2026-05-20,2026-05-20,EQ,INE047A01021,GRASIM INDUSTRIES LTD,2908.2,2988.0,2880.6,2971.1,2983.0,2935.2,2971.1,1306216,3832260169.5,61737
HCLTECH,2026-05-20,2026-05-20,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1166.2,1181.0,1162.4,1169.8,1172.2,1179.4,1169.8,1415960,1660660137.1,47007
HDFCBANK,2026-05-20,2026-05-20,EQ,INE040A01034,HDFC BANK LTD,759.6,762.25,755.15,759.5,760.1,762.45,759.5,24013451,18231201059.0,334493
HDFCLIFE,2026-05-20,2026-05-20,EQ,INE795G01014,HDFC LIFE INS CO LTD,602.6,611.25,602.6,605.1,605.35,610.4,605.1,3698222,2247150544.65,42134
HINDALCO,2026-05-20,2026-05-20,EQ,INE038A01020,HINDALCO  INDUSTRIES  LTD,1038.4,1090.0,1038.4,1085.5,1085.0,1048.3,1085.5,11945517,12909827671.2,199941
HINDUNILVR,2026-05-20,2026-05-20,EQ,INE030A01027,HINDUSTAN UNILEVER LTD.,2224.9,2226.9,2201.0,2209.3,2212.0,2232.9,2209.3,1071994,2371575764.3,47440
ICICIBANK,2026-05-20,2026-05-20,EQ,INE090A01021,ICICI BANK LTD.,1230.0,1239.7,1223.3,1237.3,1236.5,1240.8,1237.3,14953103,18430375623.0,196646
INDIGO,2026-05-20,2026-05-20,EQ,INE646L01027,INTERGLOBE AVIATION LTD,4178.0,4284.0,4178.0,4264.6,4274.2,4230.3,4264.6,760291,3214963875.6,40294
INFY,2026-05-20,2026-05-20,EQ,INE009A01021,INFOSYS LIMITED,1187.0,1206.9,1184.9,1193.7,1190.0,1196.9,1194.2,15121010,18075335888.5,180970
ITC,2026-05-20,2026-05-20,EQ,INE154A01025,ITC LTD,309.0,309.65,306.2,307.55,307.9,310.3,307.55,12127920,3729082939.15,192330
JIOFIN,2026-05-20,2026-05-20,EQ,INE758E01017,JIO FIN SERVICES LTD,230.39,235.46,229.42,234.67,234.8,233.28,234.67,11303753,2628508116.57,73927
JSWSTEEL,2026-05-20,2026-05-20,EQ,INE019A01038,JSW STEEL LIMITED,1278.0,1289.0,1261.5,1283.2,1278.4,1285.2,1283.2,1039407,1324275199.4,31194
KOTAKBANK,2026-05-20,2026-05-20,EQ,INE237A01036,KOTAK MAHINDRA BANK LTD,376.3,384.05,376.3,383.2,383.0,381.95,383.2,12342444,4707905328.15,213408
