symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2026-01-16,2026-01-16,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2162.8,2193.9,2152.1,2157.3,2159.0,2153.3,2157.25,758469,1648508019.2,35470
ADANIPORTS,2026-01-16,2026-01-16,EQ,INE742F01042,ADANI PORT & SEZ LTD,1430.0,1448.0,1416.1,1421.9,1424.3,1430.0,1421.9,1556318,2230099990.7,48618
APOLLOHOSP,2026-01-16,2026-01-16,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,6950.0,7299.0,6950.0,7235.5,7230.0,7272.5,7235.5,501597,3624888774.5,61867
ASIANPAINT,2026-01-16,2026-01-16,EQ,INE021A01026,ASIAN PAINTS LIMITED,2787.9,2826.5,2750.5,2756.9,2756.7,2813.9,2756.9,1143463,3192296186.7,64490
AXISBANK,2026-01-16,2026-01-16,EQ,INE238A01034,AXIS BANK LIMITED,1298.8,1309.0,1286.5,1294.2,1296.0,1298.8,1294.2,5175495,6700280486.8,165814
BAJAJ-AUTO,2026-01-16,2026-01-16,EQ,INE917I01010,BAJAJ AUTO LIMITED,9540.0,9616.5,9389.5,9489.0,9487.0,9579.5,9488.95,528450,5013712418.0,58253
BAJAJFINSV,2026-01-16,2026-01-16,EQ,INE918I01026,BAJAJ FINSERV LTD.,2012.8,2033.0,2000.6,2002.5,2002.0,2000.9,2002.5,1177279,2369800148.4,39874
BAJFINANCE,2026-01-16,2026-01-16,EQ,INE296A01032,BAJAJ FINANCE LIMITED,940.2,963.0,936.8,950.25,951.0,945.95,950.25,10710080,10189958448.1,194250
BEL,2026-01-16,2026-01-16,EQ,INE263A01024,BHARAT ELECTRONICS LTD,416.55,417.25,406.35,410.25,410.6,417.6,410.25,18888193,7771912988.05,179414
BHARTIARTL,2026-01-16,2026-01-16,EQ,INE397D01024,BHARTI AIRTEL LIMITED,2020.0,2029.7,1988.7,2016.4,2018.0,2022.5,2016.4,7310676,14697512240.7,204099
CIPLA,2026-01-16,2026-01-16,EQ,INE059A01026,CIPLA LTD,1379.0,1409.5,1367.2,1397.5,1398.0,1434.5,1397.5,4333315,6036486145.6,135796
COALINDIA,2026-01-16,2026-01-16,EQ,INE522F01014,COAL INDIA LTD,432.2,433.6,428.0,431.0,431.5,432.2,431.0,6410141,2760201553.95,167174
DRREDDY,2026-01-16,2026-01-16,EQ,INE089A01031,DR. REDDY S LABORATORIES,1184.0,1197.0,1171.5,1175.5,1177.7,1186.5,1175.5,2214792,2619319444.6,77994
EICHERMOT,2026-01-16,2026-01-16,EQ,INE066A01021,EICHER MOTORS LTD,7330.0,7417.0,7298.5,7315.0,7300.0,7358.0,7315.0,441023,3238805708.5,64247
ETERNAL,2026-01-16,2026-01-16,EQ,INE758T01015,ETERNAL LIMITED,294.05,296.8,286.8,287.7,288.0,299.25,287.7,62836265,18332928161.9,288414
GRASIM,2026-01-16,2026-01-16,EQ,INE047A01021,GRASIM INDUSTRIES LTD,2810.8,2827.3,2791.0,2809.6,2810.9,2795.8,2809.6,678922,1906649154.1,27693
HCLTECH,2026-01-16,2026-01-16,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1670.0,1700.9,1664.8,1698.0,1696.5,1668.5,1698.05,3098089,5237120915.2,113028
HDFCBANK,2026-01-16,2026-01-16,EQ,INE040A01034,HDFC BANK LTD,922.0,935.95,919.2,931.1,930.55,925.45,931.1,37780235,35104452366.25,361119
HDFCLIFE,2026-01-16,2026-01-16,EQ,INE795G01014,HDFC LIFE INS CO LTD,740.1,742.0,718.0,732.55,733.5,743.2,732.55,9855757,7201860367.2,201525
HINDALCO,2026-01-16,2026-01-16,EQ,INE038A01020,HINDALCO  INDUSTRIES  LTD,966.5,966.5,930.0,934.65,932.0,955.35,934.65,4037987,3806036012.0,92108
