symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2025-12-16,2025-12-16,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2270.0,2276.8,2232.1,2247.9,2242.0,2278.9,2247.85,654714,1472087723.5,34760
ADANIPORTS,2025-12-16,2025-12-16,EQ,INE742F01042,ADANI PORT & SEZ LTD,1512.6,1512.6,1494.2,1499.0,1497.9,1512.6,1499.0,1122212,1685544007.6,70462
APOLLOHOSP,2025-12-16,2025-12-16,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,7110.0,7148.0,7025.0,7051.5,7045.0,7086.5,7051.5,385236,2731150051.5,44017
ASIANPAINT,2025-12-16,2025-12-16,EQ,INE021A01026,ASIAN PAINTS LIMITED,2793.0,2808.0,2776.1,2790.9,2785.0,2780.2,2790.9,916244,2558631583.8,59237
AXISBANK,2025-12-16,2025-12-16,EQ,INE238A01034,AXIS BANK LIMITED,1277.1,1277.6,1216.9,1219.6,1219.0,1284.8,1219.6,11542048,14226307916.2,218357
BAJAJ-AUTO,2025-12-16,2025-12-16,EQ,INE917I01010,BAJAJ AUTO LIMITED,8940.0,9028.0,8891.0,9008.0,8989.0,8940.0,9007.25,278902,2503879526.5,39633
BAJAJFINSV,2025-12-16,2025-12-16,EQ,INE918I01026,BAJAJ FINSERV LTD.,2066.1,2067.8,2029.0,2035.2,2034.9,2070.5,2035.2,506106,1034660231.8,44193
BAJFINANCE,2025-12-16,2025-12-16,EQ,INE296A01032,BAJAJ FINANCE LIMITED,1007.5,1010.6,996.5,998.4,997.1,1012.7,998.4,3861617,3869237331.0,132550
BEL,2025-12-16,2025-12-16,EQ,INE263A01024,BHARAT ELECTRONICS LTD,390.75,391.2,384.75,388.0,387.3,390.75,388.0,8700626,3368481433.9,149347
BHARTIARTL,2025-12-16,2025-12-16,EQ,INE397D01024,BHARTI AIRTEL LIMITED,2070.1,2106.6,2070.1,2102.0,2104.9,2069.7,2102.0,5756692,12075653201.7,214465
CIPLA,2025-12-16,2025-12-16,EQ,INE059A01026,CIPLA LTD,1500.0,1508.9,1496.1,1499.6,1500.0,1508.0,1499.6,789492,1186104537.5,36785
COALINDIA,2025-12-16,2025-12-16,EQ,INE522F01014,COAL INDIA LTD,384.0,384.2,378.35,381.6,382.15,384.45,381.6,5109787,1945900382.9,78396
DRREDDY,2025-12-16,2025-12-16,EQ,INE089A01031,DR. REDDY S LABORATORIES,1285.9,1285.9,1272.0,1276.9,1272.5,1280.6,1277.1,928506,1187009721.5,32120
EICHERMOT,2025-12-16,2025-12-16,EQ,INE066A01021,EICHER MOTORS LTD,7120.0,7121.5,7035.5,7061.5,7042.0,7121.5,7061.5,505906,3576522451.5,40289
ETERNAL,2025-12-16,2025-12-16,EQ,INE758T01015,ETERNAL LIMITED,298.2,298.2,282.65,284.45,284.5,298.45,284.45,58633745,16823564222.7,364549
