symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2026-04-27,2026-04-27,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2300.2,2337.0,2286.0,2321.8,2322.3,2287.6,2321.8,1500864,3478515986.6,59958
ADANIPORTS,2026-04-27,2026-04-27,EQ,INE742F01042,ADANI PORT & SEZ LTD,1600.0,1649.9,1593.0,1628.5,1628.0,1585.1,1628.5,3787783,6174305294.7,113573
APOLLOHOSP,2026-04-27,2026-04-27,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,7759.0,7850.0,7735.0,7825.0,7840.0,7732.5,7825.0,289661,2261174456.5,33842
ASIANPAINT,2026-04-27,2026-04-27,EQ,INE021A01026,ASIAN PAINTS LIMITED,2503.0,2519.8,2475.5,2485.2,2478.1,2485.1,2485.2,452134,1127962239.0,50545
AXISBANK,2026-04-27,2026-04-27,EQ,INE238A01034,AXIS BANK LIMITED,1325.0,1327.3,1299.9,1324.2,1325.4,1365.9,1324.2,10768267,14171961918.7,368110
BAJAJ-AUTO,2026-04-27,2026-04-27,EQ,INE917I01010,BAJAJ AUTO LIMITED,9642.5,9715.0,9617.0,9662.0,9675.0,9576.0,9662.0,147736,1428209499.5,25020
BAJAJFINSV,2026-04-27,2026-04-27,EQ,INE918I01026,BAJAJ FINSERV LTD.,1781.0,1798.0,1765.0,1772.2,1774.0,1770.7,1772.2,1267827,2250097390.6,65473
BAJFINANCE,2026-04-27,2026-04-27,EQ,INE296A01032,BAJAJ FINANCE LIMITED,923.05,928.95,908.3,921.8,923.0,921.55,921.8,7813458,7195529851.8,123617
BEL,2026-04-27,2026-04-27,EQ,INE263A01024,BHARAT ELECTRONICS LTD,445.0,448.3,432.95,435.6,436.0,444.45,435.6,18502535,8096203669.8,299840
BHARTIARTL,2026-04-27,2026-04-27,EQ,INE397D01024,BHARTI AIRTEL LIMITED,1816.1,1828.4,1814.0,1820.1,1816.0,1814.5,1820.1,4413769,8039675875.4,140869
CIPLA,2026-04-27,2026-04-27,EQ,INE059A01026,CIPLA LTD,1303.2,1320.7,1299.0,1317.2,1315.0,1295.0,1317.2,1721187,2261250934.9,61429
COALINDIA,2026-04-27,2026-04-27,EQ,INE522F01014,COAL INDIA LTD,458.5,460.65,450.65,452.5,454.5,456.0,452.5,6922067,3141539845.25,86131
DRREDDY,2026-04-27,2026-04-27,EQ,INE089A01031,DR. REDDY S LABORATORIES,1320.4,1350.0,1309.0,1334.5,1335.5,1317.1,1334.5,1940454,2586861925.5,83721
EICHERMOT,2026-04-27,2026-04-27,EQ,INE066A01021,EICHER MOTORS LTD,7150.0,7214.0,7102.0,7174.0,7178.0,7111.5,7174.0,335662,2404505121.5,46615
ETERNAL,2026-04-27,2026-04-27,EQ,INE758T01015,ETERNAL LIMITED,257.5,261.27,254.65,255.49,254.96,256.79,255.5,32002337,8216877604.02,218703
GRASIM,2026-04-27,2026-04-27,EQ,INE047A01021,GRASIM INDUSTRIES LTD,2766.0,2810.9,2752.2,2778.2,2785.0,2739.3,2778.2,986204,2742873934.6,37620
HCLTECH,2026-04-27,2026-04-27,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1209.0,1232.0,1201.0,1228.2,1230.2,1203.2,1228.2,6066942,7390475443.7,197227
HDFCBANK,2026-04-27,2026-04-27,EQ,INE040A01034,HDFC BANK LTD,787.5,793.0,785.0,789.8,790.0,784.85,789.8,18115375,14295937140.45,278374
HDFCLIFE,2026-04-27,2026-04-27,EQ,INE795G01014,HDFC LIFE INS CO LTD,595.0,603.45,590.1,597.3,595.3,588.2,597.3,5548234,3320269091.5,102316
HINDALCO,2026-04-27,2026-04-27,EQ,INE038A01020,HINDALCO  INDUSTRIES  LTD,1058.35,1066.5,1052.0,1061.8,1064.4,1048.35,1061.8,4241483,4494875470.2,117483
HINDUNILVR,2026-04-27,2026-04-27,EQ,INE030A01027,HINDUSTAN UNILEVER LTD.,2334.9,2362.8,2325.0,2328.3,2326.5,2327.3,2328.3,1099681,2571332388.6,59062
ICICIBANK,2026-04-27,2026-04-27,EQ,INE090A01021,ICICI BANK LTD.,1327.9,1335.9,1310.9,1314.1,1316.6,1326.2,1314.1,15385625,20296818470.5,221899
INDIGO,2026-04-27,2026-04-27,EQ,INE646L01027,INTERGLOBE AVIATION LTD,4522.2,4584.3,4507.0,4561.2,4565.0,4523.1,4561.2,833925,3796961137.4,57325
INFY,2026-04-27,2026-04-27,EQ,INE009A01021,INFOSYS LIMITED,1154.6,1179.9,1154.5,1170.3,1172.9,1154.6,1170.3,19579883,22950422792.3,369480
ITC,2026-04-27,2026-04-27,EQ,INE154A01025,ITC LTD,303.65,305.65,302.85,303.85,304.0,301.6,303.85,14382348,4373975412.5,118826
JIOFIN,2026-04-27,2026-04-27,EQ,INE758E01017,JIO FIN SERVICES LTD,247.1,254.7,247.02,253.64,254.6,245.73,253.65,25870371,6487789941.73,131510
JSWSTEEL,2026-04-27,2026-04-27,EQ,INE019A01038,JSW STEEL LIMITED,1273.0,1297.0,1268.1,1282.7,1285.0,1255.7,1282.7,2309506,2971585815.3,62477
KOTAKBANK,2026-04-27,2026-04-27,EQ,INE237A01036,KOTAK MAHINDRA BANK LTD,375.0,380.45,373.25,376.8,377.0,370.85,376.8,11559552,4361039247.7,133226
LT,2026-04-27,2026-04-27,EQ,INE018A01030,LARSEN & TOUBRO LTD.,4058.0,4089.5,4030.2,4053.6,4055.0,4014.3,4053.3,2000348,8134143442.5,107696
M&M,2026-04-27,2026-04-27,EQ,INE101A01026,MAHINDRA & MAHINDRA LTD,3050.0,3114.0,3050.0,3102.4,3104.8,3038.4,3102.4,1816150,5617465498.8,126716
MARUTI,2026-04-27,2026-04-27,EQ,INE585B01010,MARUTI SUZUKI INDIA LTD.,13153.0,13270.0,13043.0,13222.0,13225.0,13048.0,13222.0,312786,4115786478.0,49953
MAXHEALTH,2026-04-27,2026-04-27,EQ,INE027H01010,MAX HEALTHCARE INS LTD,1000.0,1015.4,1000.0,1009.85,1008.0,999.4,1009.85,1065883,1076755989.4,41938
NESTLEIND,2026-04-27,2026-04-27,EQ,INE239A01024,NESTLE INDIA LIMITED,1429.0,1437.9,1410.0,1417.3,1411.7,1421.3,1417.3,1719329,2450675821.0,82251
NTPC,2026-04-27,2026-04-27,EQ,INE733E01010,NTPC LTD,403.9,414.4,402.6,410.2,412.2,401.85,410.2,13001752,5331028744.15,161911
ONGC,2026-04-27,2026-04-27,EQ,INE213A01029,OIL AND NATURAL GAS CORP.,286.0,286.7,284.2,285.9,285.9,284.8,285.9,6497916,1854950183.6,69566
POWERGRID,2026-04-27,2026-04-27,EQ,INE752E01010,POWER GRID CORP. LTD.,318.0,324.95,316.95,320.9,321.0,316.4,320.9,9334181,2997059267.95,85587
RELIANCE,2026-04-27,2026-04-27,EQ,INE002A01018,RELIANCE INDUSTRIES LTD,1313.0,1371.6,1311.0,1365.8,1370.0,1327.8,1365.8,24673098,33221715766.8,301732
SBILIFE,2026-04-27,2026-04-27,EQ,INE123W01016,SBI LIFE INSURANCE CO LTD,1768.9,1818.5,1759.0,1815.4,1814.0,1768.9,1815.4,1918952,3459106805.2,123395
SBIN,2026-04-27,2026-04-27,EQ,INE062A01020,STATE BANK OF INDIA,1110.95,1114.8,1103.4,1111.85,1112.0,1101.1,1111.85,11624385,12895862719.15,189849
SHRIRAMFIN,2026-04-27,2026-04-27,EQ,INE721A01047,SHRIRAM FINANCE LIMITED,1011.3,1012.0,963.75,974.65,974.0,1011.3,974.65,15096574,14732127335.2,296742
SUNPHARMA,2026-04-27,2026-04-27,EQ,INE044A01036,SUN PHARMACEUTICAL IND L,1625.0,1766.9,1621.9,1733.5,1731.0,1620.4,1733.5,26995361,46602907335.3,475171
TATACONSUM,2026-04-27,2026-04-27,EQ,INE192A01025,TATA CONSUMER PRODUCT LTD,1168.0,1183.9,1155.0,1160.5,1160.0,1174.0,1160.5,1019797,1189830945.1,49611
TATASTEEL,2026-04-27,2026-04-27,EQ,INE081A01020,TATA STEEL LIMITED,211.0,215.0,210.93,213.27,213.28,210.07,213.29,33068230,7067361145.71,206797
TCS,2026-04-27,2026-04-27,EQ,INE467B01029,TATA CONSULTANCY SERV LT,2396.9,2459.0,2396.9,2447.6,2448.0,2396.9,2447.6,5853425,14279801556.7,226406
TECHM,2026-04-27,2026-04-27,EQ,INE669C01036,TECH MAHINDRA LIMITED,1362.9,1400.5,1360.2,1396.1,1398.0,1358.5,1396.1,1834277,2546222400.9,117677
