symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2026-05-15,2026-05-15,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2781.1,2803.1,2661.0,2716.0,2718.0,2712.9,2716.0,6742083,18451522987.1,212829
ADANIPORTS,2026-05-15,2026-05-15,EQ,INE742F01042,ADANI PORT & SEZ LTD,1796.8,1823.9,1766.2,1795.1,1791.0,1773.4,1795.1,5622212,10126024935.9,140182
APOLLOHOSP,2026-05-15,2026-05-15,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,8170.0,8170.0,8028.5,8082.5,8080.0,8119.0,8082.5,300134,2427594493.0,29610
ASIANPAINT,2026-05-15,2026-05-15,EQ,INE021A01026,ASIAN PAINTS LIMITED,2622.2,2640.0,2592.8,2605.6,2609.0,2622.2,2605.6,796240,2079694121.2,61996
AXISBANK,2026-05-15,2026-05-15,EQ,INE238A01034,AXIS BANK LIMITED,1259.6,1263.4,1242.0,1244.8,1245.5,1254.6,1244.8,4805485,6012898424.0,256382
BAJAJ-AUTO,2026-05-15,2026-05-15,EQ,INE917I01010,BAJAJ AUTO LIMITED,10500.0,10540.5,10296.0,10377.5,10375.0,10451.0,10377.5,227162,2364435664.0,35225
BAJAJFINSV,2026-05-15,2026-05-15,EQ,INE918I01026,BAJAJ FINSERV LTD.,1735.1,1755.8,1721.9,1728.1,1734.1,1740.2,1728.1,2347840,4101118259.6,60928
BAJFINANCE,2026-05-15,2026-05-15,EQ,INE296A01032,BAJAJ FINANCE LIMITED,913.0,921.6,907.35,910.45,910.0,912.15,910.45,5012279,4587641973.15,100190
BEL,2026-05-15,2026-05-15,EQ,INE263A01024,BHARAT ELECTRONICS LTD,428.85,429.5,422.2,423.65,424.75,428.85,423.65,7593616,3227033501.35,120980
BHARTIARTL,2026-05-15,2026-05-15,EQ,INE397D01024,BHARTI AIRTEL LIMITED,1883.2,1922.9,1880.4,1905.4,1904.0,1883.5,1905.4,15807294,30133300830.2,332449
CIPLA,2026-05-15,2026-05-15,EQ,INE059A01026,CIPLA LTD,1436.7,1444.5,1425.2,1432.1,1428.7,1436.7,1432.1,1138894,1634319913.7,44639
COALINDIA,2026-05-15,2026-05-15,EQ,INE522F01014,COAL INDIA LTD,457.0,468.5,455.25,462.2,462.4,454.05,462.2,7859575,3646960653.65,99366
DRREDDY,2026-05-15,2026-05-15,EQ,INE089A01031,DR. REDDY S LABORATORIES,1303.6,1344.9,1303.6,1336.7,1343.2,1303.6,1336.7,3982549,5284214498.7,85881
EICHERMOT,2026-05-15,2026-05-15,EQ,INE066A01021,EICHER MOTORS LTD,7030.0,7115.5,6975.0,7014.5,7040.0,7034.0,7015.0,313548,2203770834.0,41981
ETERNAL,2026-05-15,2026-05-15,EQ,INE758T01015,ETERNAL LIMITED,245.0,245.72,240.41,241.18,241.0,245.82,241.18,18279677,4444493606.13,121134
GRASIM,2026-05-15,2026-05-15,EQ,INE047A01021,GRASIM INDUSTRIES LTD,2938.9,2968.4,2924.3,2933.8,2939.9,2938.7,2933.7,1586864,4674624675.1,50731
HCLTECH,2026-05-15,2026-05-15,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1121.9,1152.0,1121.8,1132.6,1131.0,1124.0,1132.6,3729249,4239413697.9,70408
HDFCBANK,2026-05-15,2026-05-15,EQ,INE040A01034,HDFC BANK LTD,773.0,781.9,765.4,767.5,770.0,769.55,767.5,24347873,18848426198.2,268604
HDFCLIFE,2026-05-15,2026-05-15,EQ,INE795G01014,HDFC LIFE INS CO LTD,616.5,618.95,605.45,608.7,608.7,612.55,608.7,2900528,1773689140.1,57798
HINDALCO,2026-05-15,2026-05-15,EQ,INE038A01020,HINDALCO  INDUSTRIES  LTD,1101.2,1101.2,1057.6,1067.5,1065.0,1103.3,1067.5,6800905,7311268816.7,140520
HINDUNILVR,2026-05-15,2026-05-15,EQ,INE030A01027,HINDUSTAN UNILEVER LTD.,2248.7,2298.9,2246.2,2272.2,2270.1,2248.7,2272.2,1038522,2365262769.2,61228
ICICIBANK,2026-05-15,2026-05-15,EQ,INE090A01021,ICICI BANK LTD.,1246.6,1258.0,1242.0,1244.5,1247.9,1246.0,1244.5,11745614,14658250228.7,221105
INDIGO,2026-05-15,2026-05-15,EQ,INE646L01027,INTERGLOBE AVIATION LTD,4293.0,4359.0,4277.0,4314.9,4314.9,4280.5,4314.8,713589,3080143566.8,53127
INFY,2026-05-15,2026-05-15,EQ,INE009A01021,INFOSYS LIMITED,1102.0,1133.2,1101.6,1119.0,1116.0,1095.0,1119.0,17482450,19591303917.7,243995
ITC,2026-05-15,2026-05-15,EQ,INE154A01025,ITC LTD,307.2,312.05,306.3,309.45,309.2,307.2,309.45,11954564,3699769024.15,185043
JIOFIN,2026-05-15,2026-05-15,EQ,INE758E01017,JIO FIN SERVICES LTD,234.9,235.95,232.59,233.06,233.36,234.13,233.06,10456724,2447958757.39,73464
JSWSTEEL,2026-05-15,2026-05-15,EQ,INE019A01038,JSW STEEL LIMITED,1314.0,1314.0,1274.2,1278.8,1279.0,1296.9,1278.8,3871553,5003224512.1,83045
KOTAKBANK,2026-05-15,2026-05-15,EQ,INE237A01036,KOTAK MAHINDRA BANK LTD,383.2,393.3,380.5,387.05,388.5,383.2,387.05,19461437,7569381445.2,205717
LT,2026-05-15,2026-05-15,EQ,INE018A01030,LARSEN & TOUBRO LTD.,3949.4,3949.4,3893.0,3909.0,3905.1,3940.4,3909.0,1339185,5249609370.0,74123
M&M,2026-05-15,2026-05-15,EQ,INE101A01026,MAHINDRA & MAHINDRA LTD,3170.0,3188.9,3111.0,3123.1,3128.4,3173.9,3123.1,2196383,6901822458.1,131364
MARUTI,2026-05-15,2026-05-15,EQ,INE585B01010,MARUTI SUZUKI INDIA LTD.,13079.0,13325.0,13079.0,13221.0,13230.0,13075.0,13221.0,268206,3542708048.0,53269
MAXHEALTH,2026-05-15,2026-05-15,EQ,INE027H01010,MAX HEALTHCARE INS LTD,1049.55,1059.9,1042.4,1050.1,1049.6,1049.55,1050.1,1471140,1547340533.8,65251
NESTLEIND,2026-05-15,2026-05-15,EQ,INE239A01024,NESTLE INDIA LIMITED,1459.6,1467.5,1427.5,1430.5,1432.2,1459.6,1430.5,3292954,4746116345.3,71084
NTPC,2026-05-15,2026-05-15,EQ,INE733E01010,NTPC LTD,396.0,398.0,392.5,395.25,395.75,396.3,395.25,7107857,2809259747.8,73559
ONGC,2026-05-15,2026-05-15,EQ,INE213A01029,OIL AND NATURAL GAS CORP.,303.0,304.95,298.55,299.35,299.6,300.9,299.35,13695307,4116907587.05,95233
POWERGRID,2026-05-15,2026-05-15,EQ,INE752E01010,POWER GRID CORP. LTD.,307.8,308.15,302.9,305.85,305.5,301.75,305.85,10092811,3088802996.05,117522
RELIANCE,2026-05-15,2026-05-15,EQ,INE002A01018,RELIANCE INDUSTRIES LTD,1356.8,1364.8,1329.2,1336.4,1339.0,1361.8,1336.4,19976192,26755567751.4,276450
SBILIFE,2026-05-15,2026-05-15,EQ,INE123W01016,SBI LIFE INSURANCE CO LTD,1866.7,1883.9,1850.0,1864.5,1860.0,1866.7,1864.5,851184,1589714092.2,41885
SBIN,2026-05-15,2026-05-15,EQ,INE062A01020,STATE BANK OF INDIA,971.2,972.5,957.0,963.2,961.6,979.9,963.2,26972493,26074390324.8,298397
SHRIRAMFIN,2026-05-15,2026-05-15,EQ,INE721A01047,SHRIRAM FINANCE LIMITED,921.0,945.9,921.0,937.9,936.0,935.1,937.9,5759607,5398595175.95,96598
