TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-21,2026-07-21,CM,NSE,STK,757142,INF769K01OO2,EQUAL50,EQ,,,,,MIRAEAMC - EQUAL50,332.17,332.54,331.3,332.36,332.36,332.61,,332.36,,,61991,20538841.26,40,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,24461,INF769K01LQ3,EVINDIA,EQ,,,,,MIRAEAMC - EVINDIA,32.46,32.46,31.6,31.93,31.98,31.67,,31.93,,,397102,12638866.48,1336,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,760986,INF769K01QA6,HEALTHCARE,EQ,,,,,MIRAEAMC - HEALTHCARE,21.35,21.47,21.29,21.41,21.47,21.35,,21.41,,,35435,758232.4,111,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,761030,INF769K01QB4,INFRA,EQ,,,,,MIRAEAMC - INFRA,12.34,12.37,12.28,12.35,12.34,12.38,,12.35,,,15751,194110.04,157,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,758595,INF769K01PB6,INTERNET,EQ,,,,,MIRAEAMC - INTERNET,13.39,13.47,13.34,13.37,13.37,13.43,,13.37,,,78459,1049254.67,133,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,19633,INF769K01KV5,ITETF,EQ,,,,,MIRAEAMC - ITETF,30.9,31.14,30.64,30.68,30.7,30.86,,30.68,,,278247,8581488.73,684,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,17572,INF769K01KS1,LIQUID,EQ,,,,,MIRAEAMC - LIQUID,974.99,1000.0,974.99,999.99,1000.0,999.99,,999.99,,,227813,227812611.43,206,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,27075,INF769K01MY5,LIQUIDPLUS,EQ,,,,,MIRAEAMC - LIQUIDPLUS,1095.31,1095.31,1095.29,1095.3,1095.31,1095.15,,1095.3,,,141081,154525701.84,179,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,1200,INF769K01GS9,ESG,EQ,,,,,MIRAEAMC - MAESGETF,41.81,41.84,41.68,41.8,41.76,41.71,,41.8,,,14522,606334.04,75,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,3507,INF769K01HF4,MAFANG,EQ,,,,,MIRAEAMC - MAFANG,194.77,194.77,194.77,194.77,194.77,198.67,,194.77,,,134870,26268629.9,398,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,5220,INF769K01HI8,BFSI,EQ,,,,,MIRAEAMC - MAFSETF,27.6,27.67,27.53,27.58,27.6,27.65,,27.58,,,210838,5815361.35,733,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,14286,INF769K01JP9,GOLDETF,EQ,,,,,MIRAEAMC - MAGOLDETF,137.91,138.48,137.63,138.27,138.39,137.45,,138.27,,,388334,53657583.34,2965,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,14938,INF769K01KF8,GSEC10YEAR,EQ,,,,,MIRAEAMC - MAGS813ETF,30.27,30.61,30.11,30.33,30.51,30.35,,30.33,,,360,10904.62,19,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,7074,INF769K01HS7,MAHKTECH,EQ,,,,,MIRAEAMC - MAHKTECH,22.87,22.87,22.87,22.87,22.87,23.42,,22.87,,,259474,5934170.38,337,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,8413,INF769K01IC9,MIDCAPETF,EQ,,,,,MIRAEAMC - MAM150ETF,23.69,23.69,23.57,23.65,23.68,23.58,,23.65,,,4919890,116339455.94,6824,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,7979,INF769K01IB1,MAKEINDIA,EQ,,,,,MIRAEAMC - MAMFGETF,162.68,163.5,162.21,163.28,163.38,162.88,,163.28,,,31750,5170823.78,265,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,6353,INF769K01EG9,NIFTYETF,EQ,,,,,MIRAEAMC - MAN50ETF,263.31,263.98,262.5,263.16,263.23,264.41,,263.16,,,102129,26875988.28,794,F1,1,,,,,
