TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-24,2026-07-24,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14200.0,14200.0,14022.01,14110.0,14120.0,14280.0,,14110.0,,,81,1143734.5,26,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14190.0,14198.5,14061.0,14158.1,14150.02,14268.0,,14158.1,,,187,2634707.51,47,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,14200.0,14240.0,14062.0,14209.11,14200.0,14277.36,,14194.91,,,256,3620698.7,65,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14199.99,14199.99,14060.0,14125.1,14125.1,14224.18,,14143.83,,,56,790562.13,22,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14100.0,14288.0,14100.0,14227.71,14227.71,14355.51,,14227.71,,,30,424625.74,16,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14041.0,14240.0,14041.0,14229.28,14229.0,14261.5,,14229.28,,,73,1035334.71,31,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,13902.32,14272.0,13902.32,14270.2,14272.0,14258.79,,14270.4,,,500,7102181.46,62,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14250.0,14250.0,14250.0,14250.0,14250.0,14249.5,,14250.0,,,1,14250.0,1,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,14230.0,14230.0,14230.0,14230.0,14230.0,14230.0,,14230.0,,,5,71150.0,2,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14099.0,14099.0,14007.01,14007.01,14007.01,14198.65,,14103.51,,,5,70129.02,3,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,14150.0,14150.0,14079.25,14125.0,14100.0,14175.0,,14125.0,,,18,254146.25,7,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14240.0,14258.0,14130.0,14255.99,14250.0,14404.15,,14278.92,,,35,497723.89,16,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14199.0,14199.0,14100.0,14156.27,14156.27,14272.45,,14107.14,,,54,761744.12,10,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,,14200.0,,,1,14200.0,1,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,14202.0,14202.0,14100.0,14100.0,14100.0,14202.0,,14100.0,,,4,56502.0,3,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,14350.0,14350.0,14320.0,14350.0,14350.0,14350.0,,14350.0,,,7,100330.0,3,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,14159.0,14159.0,14159.0,14159.0,14159.0,14200.0,,14159.0,,,2,28318.0,1,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,14250.0,14250.0,14200.0,14200.0,14200.0,14239.37,,14200.0,,,36,511450.0,10,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,14299.98,14300.0,14061.0,14280.61,14300.0,14322.66,,14273.32,,,53,751881.27,28,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,14200.0,14200.0,14031.0,14136.89,14130.0,14290.44,,14123.5,,,36,507599.23,11,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14101.0,14180.0,14052.8,14151.2,14160.0,14298.78,,14154.86,,,286,4034988.59,61,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,14105.0,14150.01,14105.0,14150.01,14150.01,14500.95,,14150.01,,,3,42405.02,2,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,14324.7,14347.7,14154.0,14240.36,14230.0,14350.85,,14238.77,,,724,10292002.6,97,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,14160.0,14244.99,14061.1,14244.55,14244.0,14298.29,,14244.55,,,38,538017.83,24,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,14052.01,14164.0,14052.01,14155.0,14155.0,14300.1,,14155.0,,,194,2731442.09,41,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,14060.01,14199.98,14060.0,14194.99,14199.98,14204.4,,14194.99,,,12,169259.98,6,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,14180.0,14180.0,14100.0,14116.66,14150.0,14224.93,,14116.66,,,7,98908.02,6,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,14030.51,14195.0,14030.51,14143.66,14150.0,14270.0,,14134.2,,,76,1073178.6,31,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,14232.26,14232.26,14009.05,14117.5,14117.5,14232.26,,14117.5,,,55,776933.66,18,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,14356.01,14356.01,14132.01,14250.0,14250.0,14395.7,,14227.22,,,6,85388.02,5,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,14267.7,15715.62,13926.56,14298.0,14298.0,14286.93,,14302.8,,,321,4585490.76,101,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,14100.0,14270.99,14088.99,14117.25,14118.2,14250.0,,14117.25,,,105,1485282.4,36,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,14125.01,14280.0,14110.2,14230.0,14220.0,14325.01,,14230.0,,,90,1274873.04,18,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,14100.0,14230.0,14035.1,14177.5,14230.0,14250.01,,14174.45,,,85,1200015.35,19,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,14330.0,14330.0,14131.0,14240.13,14284.38,14337.51,,14240.13,,,182,2581870.28,53,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,14290.0,14340.0,14183.0,14340.0,14340.0,14339.0,,14340.0,,,119,1693807.18,52,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,14440.0,14498.99,14300.0,14431.73,14382.51,14479.33,,14437.77,,,226,3259021.43,37,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,14028.01,14240.0,14028.0,14166.67,14175.0,14266.14,,14167.82,,,196,2769907.95,58,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,14192.58,14270.0,14152.0,14209.26,14270.0,14340.15,,14209.26,,,158,2244612.76,25,F1,1,,,,,
2026-07-24,2026-07-24,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,14302.2,14557.98,14302.2,14535.17,14535.0,14529.36,,14512.65,,,409,5904321.79,137,F1,1,,,,,
