symbol,source,url,pulled_on,pulled_at,table_count,html_bytes
ADANIENT,screener,https://www.screener.in/company/ADANIENT/consolidated/,2026-07-21,2026-07-21T20:05:49,12,208876
ADANIPORTS,screener,https://www.screener.in/company/ADANIPORTS/consolidated/,2026-07-21,2026-07-21T20:05:49,12,230767
APOLLOHOSP,screener,https://www.screener.in/company/APOLLOHOSP/consolidated/,2026-07-21,2026-07-21T20:05:49,12,226636
ASIANPAINT,screener,https://www.screener.in/company/ASIANPAINT/consolidated/,2026-07-21,2026-07-21T20:05:49,12,229099
AXISBANK,screener,https://www.screener.in/company/AXISBANK/consolidated/,2026-07-21,2026-07-21T20:05:49,12,241821
BAJAJ-AUTO,screener,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,2026-07-21,2026-07-21T20:05:49,12,209700
BAJAJFINSV,screener,https://www.screener.in/company/BAJAJFINSV/consolidated/,2026-07-21,2026-07-21T20:05:49,12,227793
BAJFINANCE,screener,https://www.screener.in/company/BAJFINANCE/consolidated/,2026-07-21,2026-07-21T20:05:49,12,228962
BEL,screener,https://www.screener.in/company/BEL/consolidated/,2026-07-21,2026-07-21T20:05:49,12,209735
BHARTIARTL,screener,https://www.screener.in/company/BHARTIARTL/consolidated/,2026-07-21,2026-07-21T20:05:49,12,218984
CIPLA,screener,https://www.screener.in/company/CIPLA/consolidated/,2026-07-21,2026-07-21T20:05:49,12,243275
COALINDIA,screener,https://www.screener.in/company/COALINDIA/consolidated/,2026-07-21,2026-07-21T20:05:49,12,221212
DRREDDY,screener,https://www.screener.in/company/DRREDDY/consolidated/,2026-07-21,2026-07-21T20:05:49,12,216407
EICHERMOT,screener,https://www.screener.in/company/EICHERMOT/consolidated/,2026-07-21,2026-07-21T20:05:49,12,232491
ETERNAL,screener,https://www.screener.in/company/ETERNAL/consolidated/,2026-07-21,2026-07-21T20:05:49,12,186927
GRASIM,screener,https://www.screener.in/company/GRASIM/consolidated/,2026-07-21,2026-07-21T20:05:49,12,229881
HCLTECH,screener,https://www.screener.in/company/HCLTECH/consolidated/,2026-07-21,2026-07-21T20:05:49,12,237990
HDFCBANK,screener,https://www.screener.in/company/HDFCBANK/consolidated/,2026-07-21,2026-07-21T20:05:49,12,212912
HDFCLIFE,screener,https://www.screener.in/company/HDFCLIFE/consolidated/,2026-07-21,2026-07-21T20:05:49,12,206789
HINDALCO,screener,https://www.screener.in/company/HINDALCO/consolidated/,2026-07-21,2026-07-21T20:05:49,12,264227
HINDUNILVR,screener,https://www.screener.in/company/HINDUNILVR/consolidated/,2026-07-21,2026-07-21T20:05:49,12,240144
ICICIBANK,screener,https://www.screener.in/company/ICICIBANK/consolidated/,2026-07-21,2026-07-21T20:05:49,12,235421
INDIGO,screener,https://www.screener.in/company/INDIGO/consolidated/,2026-07-21,2026-07-21T20:05:49,12,227904
INFY,screener,https://www.screener.in/company/INFY/consolidated/,2026-07-21,2026-07-21T20:05:49,12,229701
ITC,screener,https://www.screener.in/company/ITC/consolidated/,2026-07-21,2026-07-21T20:05:49,12,204526
JIOFIN,screener,https://www.screener.in/company/JIOFIN/consolidated/,2026-07-21,2026-07-21T20:05:49,12,150096
JSWSTEEL,screener,https://www.screener.in/company/JSWSTEEL/consolidated/,2026-07-21,2026-07-21T20:05:49,12,233134
KOTAKBANK,screener,https://www.screener.in/company/KOTAKBANK/consolidated/,2026-07-21,2026-07-21T20:05:49,12,240053
LT,screener,https://www.screener.in/company/LT/consolidated/,2026-07-21,2026-07-21T20:05:49,12,236056
M&M,screener,https://www.screener.in/company/M%26M/consolidated/,2026-07-21,2026-07-21T20:05:49,12,267450
MARUTI,screener,https://www.screener.in/company/MARUTI/consolidated/,2026-07-21,2026-07-21T20:05:49,12,229995
MAXHEALTH,screener,https://www.screener.in/company/MAXHEALTH/consolidated/,2026-07-21,2026-07-21T20:05:49,12,202611
NESTLEIND,screener,https://www.screener.in/company/NESTLEIND/consolidated/,2026-07-21,2026-07-21T20:05:49,12,148456
NTPC,screener,https://www.screener.in/company/NTPC/consolidated/,2026-07-21,2026-07-21T20:05:49,12,209762
ONGC,screener,https://www.screener.in/company/ONGC/consolidated/,2026-07-21,2026-07-21T20:05:49,12,199451
POWERGRID,screener,https://www.screener.in/company/POWERGRID/consolidated/,2026-07-21,2026-07-21T20:05:49,12,212970
RELIANCE,screener,https://www.screener.in/company/RELIANCE/consolidated/,2026-07-21,2026-07-21T20:05:49,12,226713
SBILIFE,screener,https://www.screener.in/company/SBILIFE/consolidated/,2026-07-21,2026-07-21T20:05:49,12,117499
SBILIFE,screener,https://www.screener.in/company/SBILIFE/,2026-07-21,2026-07-21T20:05:49,12,199893
SBIN,screener,https://www.screener.in/company/SBIN/consolidated/,2026-07-21,2026-07-21T20:05:49,12,221405
SHRIRAMFIN,screener,https://www.screener.in/company/SHRIRAMFIN/consolidated/,2026-07-21,2026-07-21T20:05:49,12,230332
SUNPHARMA,screener,https://www.screener.in/company/SUNPHARMA/consolidated/,2026-07-21,2026-07-21T20:05:49,12,222158
TATACONSUM,screener,https://www.screener.in/company/TATACONSUM/consolidated/,2026-07-21,2026-07-21T20:05:49,12,239861
TATASTEEL,screener,https://www.screener.in/company/TATASTEEL/consolidated/,2026-07-21,2026-07-21T20:05:49,12,229334
TCS,screener,https://www.screener.in/company/TCS/consolidated/,2026-07-21,2026-07-21T20:05:49,12,238093
TECHM,screener,https://www.screener.in/company/TECHM/consolidated/,2026-07-21,2026-07-21T20:05:49,12,216639
TITAN,screener,https://www.screener.in/company/TITAN/consolidated/,2026-07-21,2026-07-21T20:05:49,12,233131
TMPV,screener,https://www.screener.in/company/TMPV/consolidated/,2026-07-21,2026-07-21T20:05:49,12,228844
TRENT,screener,https://www.screener.in/company/TRENT/consolidated/,2026-07-21,2026-07-21T20:05:49,12,191733
ULTRACEMCO,screener,https://www.screener.in/company/ULTRACEMCO/consolidated/,2026-07-21,2026-07-21T20:05:49,12,236377
WIPRO,screener,https://www.screener.in/company/WIPRO/consolidated/,2026-07-21,2026-07-21T20:05:49,12,224476
