symbol,source,url,pulled_on,pulled_at,table_count,html_bytes
ADANIENT,screener,https://www.screener.in/company/ADANIENT/consolidated/,2026-07-22,2026-07-22T20:05:04,12,208876
ADANIPORTS,screener,https://www.screener.in/company/ADANIPORTS/consolidated/,2026-07-22,2026-07-22T20:05:04,12,231476
APOLLOHOSP,screener,https://www.screener.in/company/APOLLOHOSP/consolidated/,2026-07-22,2026-07-22T20:05:04,12,226636
ASIANPAINT,screener,https://www.screener.in/company/ASIANPAINT/consolidated/,2026-07-22,2026-07-22T20:05:04,12,229099
AXISBANK,screener,https://www.screener.in/company/AXISBANK/consolidated/,2026-07-22,2026-07-22T20:05:04,12,242454
BAJAJ-AUTO,screener,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,2026-07-22,2026-07-22T20:05:04,12,211079
BAJAJFINSV,screener,https://www.screener.in/company/BAJAJFINSV/consolidated/,2026-07-22,2026-07-22T20:05:04,12,227798
BAJFINANCE,screener,https://www.screener.in/company/BAJFINANCE/consolidated/,2026-07-22,2026-07-22T20:05:04,12,228967
BEL,screener,https://www.screener.in/company/BEL/consolidated/,2026-07-22,2026-07-22T20:05:04,12,209725
BHARTIARTL,screener,https://www.screener.in/company/BHARTIARTL/consolidated/,2026-07-22,2026-07-22T20:05:04,12,219510
CIPLA,screener,https://www.screener.in/company/CIPLA/consolidated/,2026-07-22,2026-07-22T20:05:04,12,243519
COALINDIA,screener,https://www.screener.in/company/COALINDIA/consolidated/,2026-07-22,2026-07-22T20:05:04,12,221063
DRREDDY,screener,https://www.screener.in/company/DRREDDY/consolidated/,2026-07-22,2026-07-22T20:05:04,12,218333
EICHERMOT,screener,https://www.screener.in/company/EICHERMOT/consolidated/,2026-07-22,2026-07-22T20:05:04,12,232477
ETERNAL,screener,https://www.screener.in/company/ETERNAL/consolidated/,2026-07-22,2026-07-22T20:05:04,12,188881
GRASIM,screener,https://www.screener.in/company/GRASIM/consolidated/,2026-07-22,2026-07-22T20:05:04,12,229222
HCLTECH,screener,https://www.screener.in/company/HCLTECH/consolidated/,2026-07-22,2026-07-22T20:05:04,12,238977
HDFCBANK,screener,https://www.screener.in/company/HDFCBANK/consolidated/,2026-07-22,2026-07-22T20:05:04,12,212916
HDFCLIFE,screener,https://www.screener.in/company/HDFCLIFE/consolidated/,2026-07-22,2026-07-22T20:05:04,12,207200
HINDALCO,screener,https://www.screener.in/company/HINDALCO/consolidated/,2026-07-22,2026-07-22T20:05:04,12,263520
HINDUNILVR,screener,https://www.screener.in/company/HINDUNILVR/consolidated/,2026-07-22,2026-07-22T20:05:04,12,241042
ICICIBANK,screener,https://www.screener.in/company/ICICIBANK/consolidated/,2026-07-22,2026-07-22T20:05:04,12,236807
INDIGO,screener,https://www.screener.in/company/INDIGO/consolidated/,2026-07-22,2026-07-22T20:05:04,12,228855
INFY,screener,https://www.screener.in/company/INFY/consolidated/,2026-07-22,2026-07-22T20:05:04,12,229785
ITC,screener,https://www.screener.in/company/ITC/consolidated/,2026-07-22,2026-07-22T20:05:04,12,204534
JIOFIN,screener,https://www.screener.in/company/JIOFIN/consolidated/,2026-07-22,2026-07-22T20:05:04,12,150351
JSWSTEEL,screener,https://www.screener.in/company/JSWSTEEL/consolidated/,2026-07-22,2026-07-22T20:05:04,12,232839
KOTAKBANK,screener,https://www.screener.in/company/KOTAKBANK/consolidated/,2026-07-22,2026-07-22T20:05:04,12,240058
LT,screener,https://www.screener.in/company/LT/consolidated/,2026-07-22,2026-07-22T20:05:04,12,236717
M&M,screener,https://www.screener.in/company/M%26M/consolidated/,2026-07-22,2026-07-22T20:05:04,12,268571
MARUTI,screener,https://www.screener.in/company/MARUTI/consolidated/,2026-07-22,2026-07-22T20:05:04,12,229335
MAXHEALTH,screener,https://www.screener.in/company/MAXHEALTH/consolidated/,2026-07-22,2026-07-22T20:05:04,12,202139
NESTLEIND,screener,https://www.screener.in/company/NESTLEIND/consolidated/,2026-07-22,2026-07-22T20:05:04,12,152691
NTPC,screener,https://www.screener.in/company/NTPC/consolidated/,2026-07-22,2026-07-22T20:05:04,12,210195
ONGC,screener,https://www.screener.in/company/ONGC/consolidated/,2026-07-22,2026-07-22T20:05:04,12,199883
POWERGRID,screener,https://www.screener.in/company/POWERGRID/consolidated/,2026-07-22,2026-07-22T20:05:04,12,212965
RELIANCE,screener,https://www.screener.in/company/RELIANCE/consolidated/,2026-07-22,2026-07-22T20:05:04,12,226617
SBILIFE,screener,https://www.screener.in/company/SBILIFE/consolidated/,2026-07-22,2026-07-22T20:05:04,12,117834
SBILIFE,screener,https://www.screener.in/company/SBILIFE/,2026-07-22,2026-07-22T20:05:04,12,200353
SBIN,screener,https://www.screener.in/company/SBIN/consolidated/,2026-07-22,2026-07-22T20:05:04,12,221405
SHRIRAMFIN,screener,https://www.screener.in/company/SHRIRAMFIN/consolidated/,2026-07-22,2026-07-22T20:05:04,12,230337
SUNPHARMA,screener,https://www.screener.in/company/SUNPHARMA/consolidated/,2026-07-22,2026-07-22T20:05:04,12,222770
TATACONSUM,screener,https://www.screener.in/company/TATACONSUM/consolidated/,2026-07-22,2026-07-22T20:05:04,12,239858
TATASTEEL,screener,https://www.screener.in/company/TATASTEEL/consolidated/,2026-07-22,2026-07-22T20:05:04,12,229339
TCS,screener,https://www.screener.in/company/TCS/consolidated/,2026-07-22,2026-07-22T20:05:04,12,238354
TECHM,screener,https://www.screener.in/company/TECHM/consolidated/,2026-07-22,2026-07-22T20:05:04,12,217154
TITAN,screener,https://www.screener.in/company/TITAN/consolidated/,2026-07-22,2026-07-22T20:05:04,12,233131
TMPV,screener,https://www.screener.in/company/TMPV/consolidated/,2026-07-22,2026-07-22T20:05:04,12,229980
TRENT,screener,https://www.screener.in/company/TRENT/consolidated/,2026-07-22,2026-07-22T20:05:04,12,191733
ULTRACEMCO,screener,https://www.screener.in/company/ULTRACEMCO/consolidated/,2026-07-22,2026-07-22T20:05:04,12,236375
WIPRO,screener,https://www.screener.in/company/WIPRO/consolidated/,2026-07-22,2026-07-22T20:05:04,12,224202
