symbol,source,url,pulled_on,pulled_at,table_count,html_bytes
ADANIENT,screener,https://www.screener.in/company/ADANIENT/consolidated/,2026-06-29,2026-06-29T10:08:28,12,208597
ADANIPORTS,screener,https://www.screener.in/company/ADANIPORTS/consolidated/,2026-06-29,2026-06-29T10:08:28,12,231522
APOLLOHOSP,screener,https://www.screener.in/company/APOLLOHOSP/consolidated/,2026-06-29,2026-06-29T10:08:28,12,225114
ASIANPAINT,screener,https://www.screener.in/company/ASIANPAINT/consolidated/,2026-06-29,2026-06-29T10:08:28,12,227367
AXISBANK,screener,https://www.screener.in/company/AXISBANK/consolidated/,2026-06-29,2026-06-29T10:08:28,12,239809
BAJAJ-AUTO,screener,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,2026-06-29,2026-06-29T10:08:28,12,207472
BAJAJFINSV,screener,https://www.screener.in/company/BAJAJFINSV/consolidated/,2026-06-29,2026-06-29T10:08:28,12,229766
BAJFINANCE,screener,https://www.screener.in/company/BAJFINANCE/consolidated/,2026-06-29,2026-06-29T10:08:28,12,233861
BEL,screener,https://www.screener.in/company/BEL/consolidated/,2026-06-29,2026-06-29T10:08:28,12,205401
BHARTIARTL,screener,https://www.screener.in/company/BHARTIARTL/consolidated/,2026-06-29,2026-06-29T10:08:28,12,219816
CIPLA,screener,https://www.screener.in/company/CIPLA/consolidated/,2026-06-29,2026-06-29T10:08:28,12,243639
COALINDIA,screener,https://www.screener.in/company/COALINDIA/consolidated/,2026-06-29,2026-06-29T10:08:28,12,218341
DRREDDY,screener,https://www.screener.in/company/DRREDDY/consolidated/,2026-06-29,2026-06-29T10:08:28,12,214480
EICHERMOT,screener,https://www.screener.in/company/EICHERMOT/consolidated/,2026-06-29,2026-06-29T10:08:28,12,232461
ETERNAL,screener,https://www.screener.in/company/ETERNAL/consolidated/,2026-06-29,2026-06-29T10:08:28,12,185320
GRASIM,screener,https://www.screener.in/company/GRASIM/consolidated/,2026-06-29,2026-06-29T10:08:28,12,232054
HCLTECH,screener,https://www.screener.in/company/HCLTECH/consolidated/,2026-06-29,2026-06-29T10:08:28,12,232820
HDFCBANK,screener,https://www.screener.in/company/HDFCBANK/consolidated/,2026-06-29,2026-06-29T10:08:28,12,214257
HDFCLIFE,screener,https://www.screener.in/company/HDFCLIFE/consolidated/,2026-06-29,2026-06-29T10:08:28,12,201434
HINDALCO,screener,https://www.screener.in/company/HINDALCO/consolidated/,2026-06-29,2026-06-29T10:08:28,12,258359
HINDUNILVR,screener,https://www.screener.in/company/HINDUNILVR/consolidated/,2026-06-29,2026-06-29T10:08:28,12,241649
ICICIBANK,screener,https://www.screener.in/company/ICICIBANK/consolidated/,2026-06-29,2026-06-29T10:08:28,12,232897
INDIGO,screener,https://www.screener.in/company/INDIGO/consolidated/,2026-06-29,2026-06-29T10:08:28,12,226022
INFY,screener,https://www.screener.in/company/INFY/consolidated/,2026-06-29,2026-06-29T10:08:28,12,228105
ITC,screener,https://www.screener.in/company/ITC/consolidated/,2026-06-29,2026-06-29T10:08:28,12,201655
JIOFIN,screener,https://www.screener.in/company/JIOFIN/consolidated/,2026-06-29,2026-06-29T10:08:28,12,144358
JSWSTEEL,screener,https://www.screener.in/company/JSWSTEEL/consolidated/,2026-06-29,2026-06-29T10:08:28,12,230209
KOTAKBANK,screener,https://www.screener.in/company/KOTAKBANK/consolidated/,2026-06-29,2026-06-29T10:08:28,12,236890
LT,screener,https://www.screener.in/company/LT/consolidated/,2026-06-29,2026-06-29T10:08:28,12,238543
M&M,screener,https://www.screener.in/company/M%26M/consolidated/,2026-06-29,2026-06-29T10:08:28,12,268299
MARUTI,screener,https://www.screener.in/company/MARUTI/consolidated/,2026-06-29,2026-06-29T10:08:28,12,229098
MAXHEALTH,screener,https://www.screener.in/company/MAXHEALTH/consolidated/,2026-06-29,2026-06-29T10:08:28,12,200490
NESTLEIND,screener,https://www.screener.in/company/NESTLEIND/consolidated/,2026-06-29,2026-06-29T10:08:28,12,149200
NTPC,screener,https://www.screener.in/company/NTPC/consolidated/,2026-06-29,2026-06-29T10:08:28,12,206872
ONGC,screener,https://www.screener.in/company/ONGC/consolidated/,2026-06-29,2026-06-29T10:08:28,12,197158
POWERGRID,screener,https://www.screener.in/company/POWERGRID/consolidated/,2026-06-29,2026-06-29T10:08:28,12,212599
RELIANCE,screener,https://www.screener.in/company/RELIANCE/consolidated/,2026-06-29,2026-06-29T10:08:28,12,222709
SBILIFE,screener,https://www.screener.in/company/SBILIFE/consolidated/,2026-06-29,2026-06-29T10:08:28,12,117273
SBILIFE,screener,https://www.screener.in/company/SBILIFE/,2026-06-29,2026-06-29T10:08:28,12,199529
SBIN,screener,https://www.screener.in/company/SBIN/consolidated/,2026-06-29,2026-06-29T10:08:28,12,219608
SHRIRAMFIN,screener,https://www.screener.in/company/SHRIRAMFIN/consolidated/,2026-06-29,2026-06-29T10:08:28,12,229940
SUNPHARMA,screener,https://www.screener.in/company/SUNPHARMA/consolidated/,2026-06-29,2026-06-29T10:08:28,12,219774
TATACONSUM,screener,https://www.screener.in/company/TATACONSUM/consolidated/,2026-06-29,2026-06-29T10:08:28,12,238933
TATASTEEL,screener,https://www.screener.in/company/TATASTEEL/consolidated/,2026-06-29,2026-06-29T10:08:28,12,232156
TCS,screener,https://www.screener.in/company/TCS/consolidated/,2026-06-29,2026-06-29T10:08:28,12,234494
TECHM,screener,https://www.screener.in/company/TECHM/consolidated/,2026-06-29,2026-06-29T10:08:28,12,213392
TITAN,screener,https://www.screener.in/company/TITAN/consolidated/,2026-06-29,2026-06-29T10:08:28,12,238142
TMPV,screener,https://www.screener.in/company/TMPV/consolidated/,2026-06-29,2026-06-29T10:08:28,12,229946
TRENT,screener,https://www.screener.in/company/TRENT/consolidated/,2026-06-29,2026-06-29T10:08:28,12,188626
ULTRACEMCO,screener,https://www.screener.in/company/ULTRACEMCO/consolidated/,2026-06-29,2026-06-29T10:08:28,12,229775
WIPRO,screener,https://www.screener.in/company/WIPRO/consolidated/,2026-06-29,2026-06-29T10:08:28,12,220997
