score_date,symbol,fundamental_score,computed_score,previous_score,score_changed,score_source,growth_score,profitability_score,efficiency_score,shareholder_return_score,shareholding_quality_score,freshness_score,quarterly_recency_score,annual_recency_score,disclosure_score,filing_consistency_score,shareholding_recency_score,promoter_score,shareholding_trend_score,latest_revenue,latest_net_profit,latest_eps,latest_margin,latest_net_margin,latest_interest_to_revenue,latest_expense_ratio,latest_gross_npa,latest_net_npa,latest_dividend_payout,quarterly_revenue_yoy_pct,quarterly_revenue_qoq_pct,quarterly_profit_yoy_pct,quarterly_profit_qoq_pct,quarterly_eps_yoy_pct,annual_revenue_3y_cagr_pct,annual_profit_3y_cagr_pct,margin_yoy_change_pct,expense_ratio_yoy_change_pct,positive_profit_quarters,positive_revenue_quarters,quarterly_recency_days,annual_recency_days,shareholding_recency_days,formal_latest_quarter_end,formal_latest_annual_end,announcement_latest_quarter_end,announcement_latest_annual_end,latest_quarter_end,latest_annual_end,latest_quarter_filing_dt,latest_annual_filing_dt,latest_result_announcement_dt,result_freshness_source,latest_quarter_has_xbrl,latest_annual_has_xbrl,latest_quarter_xbrl,latest_annual_xbrl,latest_financial_format_new,quarterly_filing_count,annual_filing_count,quarterly_period_count,annual_period_count,latest_shareholding_date,latest_shareholding_submission_dt,latest_shareholding_record_id,latest_shareholding_xbrl,latest_promoter_holding,latest_public_holding,promoter_holding_qoq_change,public_holding_qoq_change,previous_score_file
2025-07-23,GRASIM,67,67,67,False,carried_forward,19.43,15.75,9.09,2.57,10.6,10.0,30,20,13,10,15,8,3.0,40118.0,2767.0,20.85,22.0,6.8971533974774415,8.851388404207587,78.00987088090135,,,18.0,15.914475585091004,-9.372670386518179,33.930300096805425,-6.929027917928021,27.6791181873852,15.766226604174506,-11.543640676807343,3.0,-2.6806809827218814,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/GRASIM/consolidated/,https://www.screener.in/company/GRASIM/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_GRASIM_shareholding_20250630,https://www.screener.in/company/GRASIM/consolidated/,43.11,24.87,0.0,0.0,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,HCLTECH,62,62,62,False,carried_forward,10.74,14.97,9.23,5.0,12.13,10.0,30,20,13,10,15,10,3.13,30349.0,3844.0,14.16,20.0,12.665985699693566,0.6886553098948894,80.11466605159973,,,94.0,8.169084363973344,0.34054089796997644,-9.744071378257802,-10.79136690647482,-9.751434034416818,10.973472827714637,8.763643248569197,-1.0,0.7619198563543392,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/HCLTECH/consolidated/,https://www.screener.in/company/HCLTECH/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_HCLTECH_shareholding_20250630,https://www.screener.in/company/HCLTECH/consolidated/,60.82,4.24,0.0,-0.1299999999999999,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,HDFCBANK,47,47,47,False,carried_forward,16.36,9.0,3.0,3.43,5.65,10.0,30,20,13,10,15,0,3.65,87372.0,17090.0,10.6,-28.0,19.56004211875658,54.6044499381953,73.8188435654443,,,24.0,7.14443381649621,0.6833450489173609,-0.5701652315568961,-11.381903033445685,-2.123730378578026,35.2569630218589,24.39671562023291,-12.0,12.883911134669027,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/HDFCBANK/consolidated/,https://www.screener.in/company/HDFCBANK/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_HDFCBANK_shareholding_20250630,https://www.screener.in/company/HDFCBANK/consolidated/,0.0,15.19,0.0,-0.6500000000000004,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,HDFCLIFE,58,58,58,False,carried_forward,16.15,6.62,9.56,3.57,12.15,10.0,30,20,13,10,15,10,3.15,29463.0,548.0,2.54,1.0,1.8599599497675048,0.0,98.50999558768625,,,25.0,9.389619068834932,21.793228886776085,14.405010438413356,15.368421052631586,13.901345291479817,11.448936019179378,10.921527721765113,0.0,-0.33533002306596416,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/HDFCLIFE/consolidated/,https://www.screener.in/company/HDFCLIFE/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_HDFCLIFE_shareholding_20250630,https://www.screener.in/company/HDFCLIFE/consolidated/,50.28,10.37,-0.03999999999999915,-0.23000000000000043,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,HINDALCO,58,58,58,False,carried_forward,17.26,10.03,9.2,1.0,10.3,10.0,30,20,13,10,15,8,2.7,64232.0,4004.0,17.82,12.0,6.233653007846556,1.173869722256819,87.69149333665463,,,7.0,12.662024450563901,-1.0140237324703372,30.253741054001292,-24.22407267221802,30.263157894736835,6.9313464516057355,5.236866844729793,-1.0,0.8516497921998507,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/HINDALCO/consolidated/,https://www.screener.in/company/HINDALCO/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_HINDALCO_shareholding_20250630,https://www.screener.in/company/HINDALCO/consolidated/,34.65,12.01,0.0,0.29999999999999893,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,HINDUNILVR,64,64,64,False,carried_forward,10.94,16.8,9.06,5.0,12.07,10.0,30,20,13,10,15,10,3.07,16514.0,2768.0,11.73,23.0,16.761535666707037,0.7690444471357636,77.49182511808162,,,117.0,5.137836633348192,8.716260697827515,5.97243491577335,11.838383838383848,5.580558055805596,5.353461753419109,6.267848668620846,-1.0,1.3155979582165997,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/HINDUNILVR/consolidated/,https://www.screener.in/company/HINDUNILVR/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_HINDUNILVR_shareholding_20250630,https://www.screener.in/company/HINDUNILVR/consolidated/,61.9,11.86,0.0,-0.07000000000000028,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,ICICIBANK,48,48,48,False,carried_forward,20.19,11.5,5.69,2.14,0.0,8.0,30,20,13,10,0,0,0.0,49080.0,14456.0,19.0,-12.0,29.45395273023635,47.04563977180114,65.18133659331703,,,15.0,10.089273697904977,1.4322028644057294,15.991334349675036,0.7106033161488057,14.32009626955475,24.997585734987204,27.162561776982553,1.0,-0.7354011035112933,4,4,23,114,,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/ICICIBANK/consolidated/,https://www.screener.in/company/ICICIBANK/consolidated/,0,10,11,10,11,,,,,,,,,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,INDIGO,51,51,51,False,carried_forward,8.44,15.21,8.36,0.71,8.43,10.0,30,20,13,10,15,8,0.83,20496.0,2176.0,56.31,26.0,10.616705698672913,6.811085089773615,74.5023419203747,,,5.0,4.72638086965409,-7.475622968580719,-20.263832905826305,-29.074315514993476,-20.353606789250357,46.06160660864968,,0.0,0.8627731706940551,3,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/INDIGO/consolidated/,https://www.screener.in/company/INDIGO/consolidated/,0,10,9,10,9,2025-06-30,2025-06-30,screener_INDIGO_shareholding_20250630,https://www.screener.in/company/INDIGO/consolidated/,43.54,5.05,-5.730000000000004,0.16999999999999993,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,INFY,64,64,64,False,carried_forward,13.43,17.65,9.31,5.0,8.62,10.0,30,20,13,10,15,5,3.12,42279.0,6924.0,16.66,24.0,16.376924714397216,0.24835024480238418,76.48241443742756,,,67.0,7.539107210988183,3.308491142333536,8.628804518355814,-1.619778346121059,8.60495436766624,10.245361529469932,6.498337994627157,0.0,0.48597541924111454,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/INFY/consolidated/,https://www.screener.in/company/INFY/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_INFY_shareholding_20250630,https://www.screener.in/company/INFY/consolidated/,14.61,13.62,0.009999999999999787,-0.10000000000000142,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,ITC,54,54,54,False,carried_forward,17.21,16.0,7.89,5.0,0.0,8.0,30,20,13,10,0,0,0.0,21495.0,5343.0,4.19,32.0,24.856943475226796,0.07443591532914631,68.2856478250756,,,52.0,20.90786365170436,14.548361310951229,3.2064902453158295,-73.02605008077545,2.6960784313725616,7.492344715787946,31.24991132571231,-5.0,5.100812635515467,4,4,23,114,,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/ITC/consolidated/,https://www.screener.in/company/ITC/consolidated/,0,10,11,10,11,,,,,,,,,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,JIOFIN,58,58,58,False,carried_forward,11.29,16.0,4.6,2.86,13.0,10.0,30,20,13,10,15,10,4.0,612.0,325.0,0.51,75.0,53.10457516339869,16.176470588235293,25.49019607843137,,,20.0,46.41148325358853,24.13793103448276,3.833865814696491,2.848101265822778,4.081632653061229,,,-7.0,7.786846796134718,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/JIOFIN/consolidated/,https://www.screener.in/company/JIOFIN/consolidated/,0,9,3,9,3,2025-06-30,2025-06-30,screener_JIOFIN_shareholding_20250630,https://www.screener.in/company/JIOFIN/consolidated/,47.12,25.7,0.0,-1.129999999999999,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,JSWSTEEL,64,64,64,False,carried_forward,12.8,13.91,10.31,3.43,13.51,10.0,30,20,13,10,15,10,4.51,43147.0,2209.0,8.93,17.0,5.119707047998702,5.138248313903632,82.67318701184323,,,24.0,0.47504831986586726,-3.730560699703256,154.78662053056516,47.168554297135245,158.09248554913293,4.872039814807461,-44.96087117879751,4.0,-4.523795034124689,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/JSWSTEEL/consolidated/,https://www.screener.in/company/JSWSTEEL/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_JSWSTEEL_shareholding_20250630,https://www.screener.in/company/JSWSTEEL/consolidated/,45.31,17.59,0.46999999999999886,-0.5700000000000003,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,KOTAKBANK,55,55,55,False,carried_forward,13.41,11.0,9.75,0.29,10.76,10.0,30,20,13,10,15,8,3.16,17248.0,4472.0,4.5,-20.0,25.927643784786643,43.63984230055659,76.08418367346938,1.45,0.36,2.0,8.90951569110312,2.8380634390651194,-39.95703544575725,-9.345226028785724,-39.91989319092123,24.854761166569084,22.321888329360128,0.0,-1.34841088358057,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/KOTAKBANK/consolidated/,https://www.screener.in/company/KOTAKBANK/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_KOTAKBANK_shareholding_20250630,https://www.screener.in/company/KOTAKBANK/consolidated/,25.88,12.18,0.0,-0.16000000000000014,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,LT,56,56,56,False,carried_forward,23.1,11.06,9.07,4.43,0.0,8.0,30,20,13,10,0,0,0.0,63679.0,4318.0,26.3,13.0,6.78088537822516,3.9070965310384898,87.39929961211702,,,31.0,15.527939042089978,-14.400742015270463,25.34107402031931,-29.85705003248863,29.81243830207305,17.780109178703228,19.25998392601933,0.0,0.18231848004155893,4,4,23,114,,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/LT/consolidated/,https://www.screener.in/company/LT/consolidated/,0,10,11,10,11,,,,,,,,,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,M&M,67,67,67,False,carried_forward,24.05,13.25,8.45,3.14,8.47,10.0,30,20,13,10,15,5,2.97,45529.0,4377.0,32.84,18.0,9.613652836653563,5.33945397438995,81.92800193283402,,,22.0,22.330592723950772,6.878095729946709,23.434856175972918,23.57425183512141,24.393939393939412,20.865418841358306,24.725811062543034,-1.0,1.3890154209311731,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/M%26M/consolidated/,https://www.screener.in/company/M%26M/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_M&M_shareholding_20250630,https://www.screener.in/company/M%26M/consolidated/,18.43,9.77,-0.019999999999999574,-0.009999999999999787,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,MARUTI,62,62,62,False,carried_forward,16.89,10.72,8.75,4.14,11.94,10.0,30,20,13,10,15,10,2.94,38605.0,3792.0,120.62,12.0,9.822561844320683,0.1217458878383629,88.02745758321461,,,29.0,7.898487939852994,-5.657380254154443,0.8510638297872353,-3.042700076706728,0.8697106539555133,20.07300864332684,55.183458139906975,-2.0,2.2983986380233006,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/MARUTI/consolidated/,https://www.screener.in/company/MARUTI/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_MARUTI_shareholding_20250630,https://www.screener.in/company/MARUTI/consolidated/,58.28,3.18,0.0,0.06000000000000005,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,MAXHEALTH,73,73,73,False,carried_forward,25.0,18.5,9.56,2.0,8.35,10.0,30,20,13,10,15,5,2.85,2028.0,308.0,3.17,26.0,15.187376725838265,2.712031558185404,74.21104536489152,,,14.0,31.432274789371363,6.178010471204187,30.508474576271194,-3.4482758620689613,30.452674897119337,21.307814740495168,21.15805669714892,1.0,-0.7079436176100984,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/MAXHEALTH/consolidated/,https://www.screener.in/company/MAXHEALTH/consolidated/,0,10,9,10,9,2025-06-30,2025-06-30,screener_MAXHEALTH_shareholding_20250630,https://www.screener.in/company/MAXHEALTH/consolidated/,23.74,4.09,0.0,0.1499999999999999,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
