score_date,symbol,fundamental_score,computed_score,previous_score,score_changed,score_source,quarterly_recency_score,annual_recency_score,disclosure_score,filing_consistency_score,shareholding_recency_score,promoter_score,quarterly_recency_days,annual_recency_days,shareholding_recency_days,formal_latest_quarter_end,formal_latest_annual_end,announcement_latest_quarter_end,announcement_latest_annual_end,latest_quarter_end,latest_annual_end,latest_quarter_filing_dt,latest_annual_filing_dt,latest_result_announcement_dt,result_freshness_source,latest_quarter_has_xbrl,latest_annual_has_xbrl,latest_quarter_xbrl,latest_annual_xbrl,latest_financial_format_new,quarterly_filing_count,annual_filing_count,quarterly_period_count,annual_period_count,latest_shareholding_date,latest_shareholding_submission_dt,latest_shareholding_record_id,latest_shareholding_xbrl,latest_promoter_holding,latest_public_holding,previous_score_file
2025-10-14,ADANIENT,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,14,2024-12-31,2024-03-31,2025-06-30,2016-03-31,2025-06-30,2024-03-31,2025-01-31,2024-05-03,2025-07-31,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118251_1366948_31012025124039.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105205_1114403_03052024013809.xml,1,57,14,29,7,2025-09-30,2025-10-10,202028,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1544919_10102025115803_WEB.xml,73.97,26.03,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,ADANIPORTS,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,14,2024-12-31,2024-03-31,2025-06-30,2019-03-31,2025-06-30,2024-03-31,2025-01-30,2024-05-02,2025-08-05,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118144_1365888_30012025041037.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105163_1113889_02052024061150.xml,1,57,14,29,7,2025-09-30,2025-10-10,201950,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1544115_10102025011529_WEB.xml,65.89,34.11,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,APOLLOHOSP,92,92,92,False,carried_forward,30,14,15,10,15,8,106,562,14,2024-12-31,2024-03-31,2025-06-30,2022-03-31,2025-06-30,2024-03-31,2025-02-11,2024-05-31,2025-08-12,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119560_1377813_11022025023124.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_108616_1150927_31052024060453.xml,1,53,15,30,8,2025-09-30,2025-10-08,204534,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1574387_13112025091028_WEB.xml,28.02,71.98,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,ASIANPAINT,79,79,79,False,carried_forward,15,14,15,10,15,10,287,562,106,2024-12-31,2024-03-31,2024-12-31,2016-03-31,2024-12-31,2024-03-31,2025-02-04,2024-05-09,2025-02-04,financial_results,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118658_1370927_04022025080634.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105555_1119419_09052024075545.xml,1,57,16,29,8,2025-06-30,2025-07-21,201044,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489197_21072025054815_WEB.xml,52.63,47.31,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,AXISBANK,89,89,89,False,carried_forward,30,14,15,10,15,5,106,562,14,2024-12-31,2024-03-31,2025-06-30,2023-03-31,2025-06-30,2024-03-31,2025-01-16,2024-04-25,2025-07-17,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117296_1348238_16012025080654.xml,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_104697_1107859_25042024023559.xml,1,50,14,29,7,2025-09-30,2025-10-10,201980,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1544329_10102025033704_WEB.xml,8.16,91.84,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,BAJAJ-AUTO,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,106,2024-12-31,2024-03-31,2025-06-30,2016-03-31,2025-06-30,2024-03-31,2025-01-29,2024-04-18,2025-08-06,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117953_1364158_29012025123151.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_104581_1099573_18042024080650.xml,1,56,14,28,7,2025-06-30,2025-07-21,200734,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1542631_08102025050139_WEB.xml,55.04,44.93,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,BAJAJFINSV,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,106,2024-12-31,2024-03-31,2025-06-30,2016-03-31,2025-06-30,2024-03-31,2025-01-30,2024-04-27,2025-07-25,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118212_1366575_30012025073535.xml,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_104856_1109872_27042024125639.xml,1,58,12,28,6,2025-06-30,2025-07-21,201376,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489909_21072025100728_WEB.xml,58.81,41.09,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,BAJFINANCE,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,106,2024-12-31,2024-03-31,2025-06-30,2011-03-31,2025-06-30,2024-03-31,2025-01-29,2024-04-25,2025-07-24,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118072_1365160_29012025074915.xml,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_104721_1108498_25042024091449.xml,1,59,14,28,6,2025-06-30,2025-07-21,201388,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489933_21072025104734_WEB.xml,54.73,45.24,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,BEL,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,106,2024-12-31,2024-03-31,2025-06-30,,2025-06-30,2024-03-31,2025-01-30,2024-05-20,2025-07-28,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118133_1365796_30012025033716.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_106454_1130734_20052024062945.xml,1,53,16,30,8,2025-06-30,2025-07-11,199429,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1481019_11072025050154_WEB.xml,51.14,48.86,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
2025-10-14,BHARTIARTL,94,94,94,False,carried_forward,30,14,15,10,15,10,106,562,106,2024-12-31,2024-03-31,2025-06-30,2014-03-31,2025-06-30,2024-03-31,2025-02-06,2024-05-14,2025-08-05,financial_result_announcements,1,1,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118976_1373835_06022025111555.xml,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105900_1124349_14052024100652.xml,1,58,14,29,7,2025-06-30,2025-07-21,201330,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489832_21072025090547_WEB.xml,51.25,48.68,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/nse_fundamental_scores_20251013.csv
